seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
8,4,21,2,4520,2218,2499,1771,1272,1879,
52,4,23,2,2417,3103,1890,3513,2089,2806,
15,4,25,2,2510,3787,2474,3265,1208,2927,
67,4,27,2,2737,2302,2701,1670,3391,3208,
41,4,29,2,3405,2785,2668,2903,3201,2578,
48,4,31,2,4267,2624,2282,2130,1459,1657,
38,5,2,1,2238,1994,2897,1701,1189,1304,
43,5,4,1,1883,2449,2584,1561,1428,934,
40,5,6,1,2202,2674,1953,1934,1235,1301,
31,5,8,1,1990,1940,1491,900,2002,1596,
22,5,10,1,1838,1648,2492,1442,1269,1634,
18,5,12,1,1419,3495,2632,1688,623,1287,221
35,5,14,1,1730,1248,1634,1462,1118,667,
15,5,16,1,3591,2228,2497,1907,985,1687,
47,5,18,1,2202,2552,1924,1324,1394,731,
16,5,20,1,4223,2595,2056,1556,646,1541,
21,5,22,1,1267,2186,1765,1805,1438,2057,
45,5,24,1,3271,1341,1478,1380,1006,1945,
53,5,26,1,3243,2800,2243,941,1389,1427,
51,5,28,1,3166,1741,2412,1358,957,3866,
24,5,30,1,2802,2729,2351,2260,1663,2109,
14,5,32,1,2017,2124,1984,1534,812,1326,
54,5,1,2,3103,2973,1173,1803,789,2966,
11,5,3,2,3020,1240,1510,1260,1444,1643,
56,5,5,2,4231,3385,1582,1292,775,1413,
36,5,7,2,3514,1545,1901,1318,755,761,
60,5,9,2,2684,1765,1497,728,1213,1542,
46,5,11,2,2499,3706,1979,1032,1075,1379,
29,5,13,2,2820,1534,2120,1940,1329,1750,
68,5,15,2,1903,3385,2180,1274,1700,1691,
28,5,17,2,2341,1598,2132,1585,1080,2112,
34,5,19,2,2297,1937,1790,1603,1160,2060,
7,5,21,2,2111,2093,1211,1638,512,2624,
25,5,23,2,2024,1431,2206,2249,1109,1680,
30,5,25,2,2606,2113,1450,1813,1270,1698,
8,5,27,2,2802,2062,1622,1058,1558,2071,
63,5,29,2,3885,3301,2428,1716,1574,966,
6,5,31,2,2346,2173,2010,1476,653,3117,
43,6,2,1,2775,2521,1777,467,1743,4791,267
66,6,4,1,1713,629,2243,1838,1423,4249,
64,6,6,1,2291,2425,3922,3637,698,2513,
17,6,8,1,2561,2609,1177,810,2817,2902,
22,6,10,1,1066,1396,1771,1409,2056,1224,
21,6,12,1,4005,5756,2335,3399,1627,2133,
38,6,14,1,1731,1080,2595,1802,812,2311,140
19,6,16,1,3651,2250,1948,4306,1313,1418,
28,6,18,1,5416,2420,1621,2089,752,1612,
42,6,20,1,1224,1567,1918,2453,948,3799,
53,6,22,1,3286,1547,1145,916,338,2681,
13,6,24,1,3637,3840,2175,1441,1035,2272,
45,6,26,1,1916,704,1902,3541,3203,3656,
14,6,28,1,3440,2955,1303,1614,1572,2649,
63,6,30,1,2206,1655,1012,1783,2467,4295,
56,6,32,1,1258,2260,995,865,1118,2061,438
57,6,1,2,2026,611,1048,2744,1138,3761,213
36,6,3,2,3511,623,2177,3270,1409,2406,
51,6,5,2,2231,618,1701,1725,1102,2452,
68,6,7,2,2919,1881,868,1423,1786,2229,
15,6,9,2,4625,3093,1723,2842,2907,1778,
40,6,11,2,1875,1506,1963,1924,4087,2855,
46,6,13,2,2624,932,1831,637,1058,2849,513
8,6,15,2,2034,1558,3744,2554,3744,2573,
27,6,17,2,1138,948,2121,2204,3281,3237,
62,6,19,2,1470,2606,3861,1460,1041,3810,
33,6,21,2,1303,1328,2205,2851,1819,1804,
54,6,23,2,1938,972,1880,1670,1109,3818,
12,6,25,2,1815,1882,1891,1576,1314,3558,
61,6,27,2,1582,1581,755,1708,1081,4733,
7,6,29,2,4697,3015,2112,4433,2809,2398,
6,6,31,2,5232,2354,1898,3669,2082,3412,
12,7,2,1,3371,2107,1959,1155,1654,1103,
21,7,4,1,1775,3093,1657,2749,1681,1211,
6,7,6,1,2308,2914,2525,1535,1711,1788,
17,7,8,1,1333,1388,1187,1223,1252,1606,
49,7,10,1,2317,1422,1213,1299,1005,650,
10,7,12,1,1883,2236,1565,1759,1538,1075,
19,7,14,1,2231,1266,1744,822,1596,1434,
31,7,16,1,2387,2661,3013,2114,914,1417,
28,7,18,1,2923,1803,2418,1812,1324,1262,
16,7,20,1,4603,1948,1795,2841,970,1114,
27,7,22,1,2167,1861,1371,1558,1589,1575,
20,7,24,1,2151,1589,1267,1004,891,1554,
60,7,26,1,2285,1905,1406,963,876,1042,
48,7,28,1,2323,2186,4312,1484,1344,941,
52,7,30,1,5131,2157,1455,2244,1140,724,
32,7,32,1,1549,1757,1434,1370,820,590,
43,7,1,2,1624,2725,1795,1342,1481,1147,
35,7,3,2,2042,1606,1583,1844,1480,1672,
46,7,5,2,1971,1238,2167,1507,947,1128,
29,7,7,2,2228,1336,1454,1656,1186,1268,
23,7,9,2,2723,2716,1742,1264,1413,1250,
45,7,11,2,1630,1578,1604,872,936,869,
37,7,13,2,2204,2094,2085,2426,1034,669,
26,7,15,2,2189,1539,2073,1142,1567,1857,
58,7,17,2,3932,3361,1531,1654,1872,1491,
56,7,19,2,2115,1984,1848,1125,1296,1459,
42,7,21,2,2895,1408,1174,1492,1130,1158,
59,7,23,2,2209,1705,1556,1216,1230,598,
40,7,25,2,1630,1494,1256,1956,953,898,
11,7,27,2,3104,1968,2026,1148,1816,2016,
65,7,29,2,3022,2006,1845,1200,1369,1649,
57,7,31,2,2343,1839,1718,2444,959,1682,
57,8,1,1,1058,4515,1179,4716,1753,1600,
46,8,3,1,3393,2180,3754,2643,1607,1638,
10,8,5,1,2826,1483,2874,2490,2239,1038,
18,8,7,1,2637,2431,1890,3604,1217,1724,
8,8,9,1,2261,2101,2131,1031,1816,1922,
20,8,11,1,4085,3657,2832,1610,881,1000,
49,8,13,1,4897,2458,2475,4935,2626,1763,
7,8,15,1,2115,3598,2113,4614,2103,896,
14,8,17,1,2370,2089,2132,1194,1331,2780,
12,8,19,1,1699,3419,4109,1009,1357,3541,
15,8,21,1,3458,1792,3492,2911,2025,1546,
50,8,23,1,2644,2315,2251,1133,1096,1366,
48,8,25,1,3348,2188,1891,2779,854,1259,
63,8,27,1,2360,1456,2334,1700,1116,1460,
13,8,29,1,3459,2923,3072,2079,1569,1050,
39,8,31,1,1633,4387,2049,1010,1477,1412,
25,8,2,2,1787,6576,4623,3300,2144,1449,
23,8,4,2,1025,4042,1762,1193,4703,2860,
66,8,6,2,1359,3598,1324,1809,1193,777,
32,8,8,2,1431,3154,1199,1258,1287,2294,
56,8,10,2,1545,2288,2152,1640,1583,657,
51,8,12,2,2527,3369,2494,1794,1659,1308,
31,8,14,2,3006,1955,1830,1027,1091,941,
67,8,16,2,2226,2318,1459,1823,854,743,
22,8,18,2,2232,4068,3228,1395,2189,1241,
42,8,20,2,2650,3650,2434,2090,836,1699,
52,8,22,2,1861,2191,2049,1463,3400,1479,
43,8,24,2,6409,1899,2714,2247,1429,1747,
65,8,26,2,2087,2610,2094,1317,2365,1075,
54,8,28,2,3740,2572,1568,3553,1575,2953,
41,8,30,2,4032,2592,2577,3014,2030,1602,
53,8,32,2,2103,3424,2625,1808,1863,432,
20,9,2,1,3671,3667,2803,1714,4489,2153,
6,9,4,1,4231,4850,5324,2354,1767,1502,
14,9,6,1,4087,1904,1765,3033,1320,3132,
50,9,8,1,2141,3990,3044,2411,1887,3631,
9,9,10,1,1839,3293,2665,1365,1658,1826,
39,9,12,1,2651,5631,4231,1888,1510,1204,
56,9,14,1,3212,1462,1523,1637,1369,2437,159
45,9,16,1,2894,970,1207,1956,1340,2150,
11,9,18,1,3532,4102,4983,4249,1031,2196,
42,9,20,1,4161,5987,2727,1960,1432,2864,
27,9,22,1,1911,783,2478,1997,2293,2009,
36,9,24,1,2069,3728,2118,1454,1503,4272,
32,9,26,1,2248,1949,1530,1798,1668,2997,
33,9,28,1,3700,2914,3755,2225,2209,1971,
30,9,30,1,4302,2211,4319,2393,2182,1576,
35,9,32,1,1534,2745,1625,1488,1744,1062,
57,9,1,2,3555,3458,3416,1548,1905,2440,
28,9,3,2,3754,4337,3438,2263,1010,2908,
64,9,5,2,2328,2187,2032,2081,2337,2262,
18,9,7,2,2166,2494,1560,1258,1678,2535,
48,9,9,2,2747,4841,3424,1120,1175,2028,
44,9,11,2,1534,1824,2230,915,1155,1868,
12,9,13,2,1954,4825,3385,2022,2779,1624,
47,9,15,2,502,3260,4621,988,1974,1751,
59,9,17,2,3552,3141,950,1324,1462,2105,
34,9,19,2,2885,3666,1918,1525,1497,1272,
17,9,21,2,3007,1495,2967,1932,3281,2360,
46,9,23,2,3801,1278,1834,1504,1665,3583,357
43,9,25,2,3257,7751,2618,1621,1237,1794,
62,9,27,2,2485,1905,3431,1168,2534,2368,
52,9,29,2,6612,2734,1793,1359,1703,1614,
16,9,31,2,3579,2748,3404,3758,1439,1662,
62,10,2,1,3573,4538,2440,2298,3019,1270,
53,10,4,1,2445,3547,1996,1527,1817,1655,
20,10,6,1,2463,2090,1779,2590,1963,1857,
24,10,8,1,2764,2660,2159,1980,1400,2418,
56,10,10,1,1543,2585,2747,2438,1307,1323,
17,10,12,1,2580,5861,3394,1947,1423,920,
15,10,14,1,2378,2160,2003,1809,1616,910,
18,10,16,1,3441,1844,2812,1058,1624,911,
10,10,18,1,2584,1961,1799,2377,1107,1587,
40,10,20,1,2594,2493,2854,2310,1057,1580,
33,10,22,1,2033,1710,1757,1526,1691,1719,
9,10,24,1,2279,2422,1234,1323,1061,1789,
31,10,26,1,3233,2005,1565,1648,1730,1573,
38,10,28,1,6852,3459,2885,2060,2123,3399,
32,10,30,1,2677,2342,2467,2872,1450,2011,
64,10,32,1,2246,3563,1468,1508,1338,1566,
5,10,1,2,3069,3267,1047,1605,1372,1562,
36,10,3,2,2669,1766,1835,2075,1390,1667,
44,10,5,2,2049,2032,4181,3296,3179,1696,
47,10,7,2,3201,1662,2311,2725,2276,1622,
11,10,9,2,2675,2457,1895,1966,1371,1592,
8,10,11,2,1743,1716,2103,1739,1286,1429,
34,10,13,2,4288,4710,1976,3701,1801,1886,
66,10,15,2,1716,1982,1934,1660,1917,1614,
29,10,17,2,2194,1985,2096,1826,2138,2255,
39,10,19,2,1838,2330,2741,1437,1706,2389,
16,10,21,2,2154,2071,1252,3770,1994,1971,
27,10,23,2,2265,2087,1359,1666,2432,1891,
58,10,25,2,3461,2232,2288,1861,1067,1518,
65,10,27,2,1585,2384,3654,1768,1940,1647,
7,10,29,2,3260,2988,2631,2649,3066,1685,
23,10,31,2,2213,1716,1885,1913,1103,1763,
34,11,2,1,3053,2760,2148,3092,2439,1578,
26,11,4,1,3791,3370,3069,3754,3153,1567,
54,11,6,1,1598,2431,2797,1956,1040,1021,
31,11,8,1,2769,2101,2750,1827,3031,1566,
38,11,10,1,1533,1410,1283,1032,893,2170,
25,11,12,1,1373,3408,1841,1445,1573,667,
