seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
35,4,16,2,5028,2815,2285,2005,781,1953,
52,4,18,2,1742,4387,3849,2785,781,2158,
50,4,20,2,2398,1335,2668,2983,1280,1752,
5,4,22,2,1602,1582,2300,1776,3776,1416,
62,4,24,2,1394,3449,1903,1587,890,1433,
18,4,26,2,4100,4119,3845,3810,2872,1601,
42,4,28,2,3308,3080,3516,3064,2582,2933,
16,4,30,2,3452,2109,2015,1444,1721,2575,
63,4,32,2,2181,3201,3119,1118,1054,1814,
67,5,1,1,1641,2562,1314,1966,633,902,
60,5,3,1,2573,1641,1370,934,1182,911,
52,5,5,1,1445,2604,730,1251,1182,1411,
17,5,7,1,2861,1047,2082,2259,869,973,
64,5,9,1,1993,2480,1716,935,654,953,
14,5,11,1,3238,1703,1793,548,1093,923,
57,5,13,1,2211,1143,1641,1766,1902,660,
19,5,15,1,2243,3136,1523,1092,1321,1216,
45,5,17,1,3625,2798,2867,821,1511,1436,
38,5,19,1,1846,3670,2498,1374,1569,1538,
59,5,21,1,2298,1442,1766,885,1570,796,
50,5,23,1,2127,1670,1109,1025,955,1017,
51,5,25,1,1691,1225,1040,1750,923,1475,
48,5,27,1,1449,2111,1198,2504,2492,1122,
56,5,29,1,2309,2649,1892,1117,1230,1041,
20,5,31,1,1980,1690,1292,1097,1041,1227,
35,5,2,2,2390,2248,2349,2578,1727,1040,
6,5,4,2,3369,4278,3201,1314,2808,1371,
43,5,6,2,1166,1399,1015,1022,879,793,
9,5,8,2,2105,2082,1008,1718,1283,1909,
26,5,10,2,1561,1168,4301,1388,752,863,
42,5,12,2,2872,4927,1352,1520,907,775,
66,5,14,2,959,1011,1450,2463,2228,822,
39,5,16,2,2459,1951,2228,3954,642,889,
62,5,18,2,1287,1824,1186,831,769,1092,
33,5,20,2,2719,1348,1313,840,1269,1803,
25,5,22,2,2699,1533,1581,1372,1710,683,
11,5,24,2,4754,4107,3080,1521,771,1866,
41,5,26,2,2649,2205,2123,1585,1582,994,
34,5,28,2,2342,930,2283,1444,1027,2300,
49,5,30,2,1742,1488,1855,1642,1338,1061,
28,5,32,2,1582,1868,1075,765,1448,373,
44,6,1,1,2815,3606,2307,1319,1034,1605,
32,6,3,1,2512,2515,1691,1229,1201,1166,
25,6,5,1,1595,1232,1514,1817,1379,1178,
18,6,7,1,2988,3132,3669,2884,1949,1929,
6,6,9,1,10911,1962,3086,1643,2959,2724,
14,6,11,1,1794,2470,1923,1272,1920,1047,
41,6,13,1,4164,2397,1623,1361,1772,503,
56,6,15,1,3124,3458,2473,1622,1454,1189,
7,6,17,1,3021,1682,2408,1566,1018,1010,
31,6,19,1,1874,3462,2700,2633,1466,1284,
42,6,21,1,2982,2640,2005,1687,1424,1041,
39,6,23,1,2546,2105,1016,1242,1184,820,
53,6,25,1,3451,3891,1304,2081,667,899,
16,6,27,1,2376,2260,2219,3239,1570,1213,
43,6,29,1,2030,3116,3110,2662,2055,947,
28,6,31,1,2936,3270,3596,3086,1922,1601,
26,6,2,2,4563,3810,2695,1228,1536,928,
34,6,4,2,4019,3389,1359,1666,785,640,
51,6,6,2,2781,1589,2440,2262,1995,1178,
55,6,8,2,1500,2388,2311,1980,2099,1048,
64,6,10,2,1116,2697,4109,1507,1222,1222,
19,6,12,2,3735,11113,5282,3071,1716,686,
11,6,14,2,4134,2556,4905,3115,2966,648,
60,6,16,2,2882,2259,2195,1191,1346,625,
5,6,18,2,2365,1447,1599,1378,1484,1240,
12,6,20,2,4133,4970,2230,1199,655,911,
30,6,22,2,1639,1952,1926,1406,2295,1191,
36,6,24,2,3292,1476,2068,940,738,1202,
66,6,26,2,3240,2277,1190,1291,1298,807,
40,6,28,2,5179,2770,5378,3265,2619,2065,
15,6,30,2,3254,3910,2856,2222,1433,972,
24,6,32,2,2273,1967,3189,2120,2101,818,
59,7,1,1,1844,3108,2527,956,1023,1231,
62,7,3,1,1900,791,2471,1000,992,1044,
57,7,5,1,905,2569,1635,1470,737,1122,
21,7,7,1,982,2104,1414,933,883,1752,
12,7,9,1,3011,3642,2211,1882,1407,2635,
34,7,11,1,1786,1280,2770,3423,1379,2265,
68,7,13,1,2315,1244,2198,3052,833,1099,211
66,7,15,1,594,1501,1059,1231,800,1335,
27,7,17,1,2019,2421,1686,1624,1929,2514,
31,7,19,1,1568,2010,1473,197,1780,3184,
40,7,21,1,612,1736,1316,2792,626,1849,
36,7,23,1,2388,1883,1088,2314,877,2560,
52,7,25,1,274,2766,1740,2516,1037,776,
37,7,27,1,1218,1547,1326,1064,2446,1809,
24,7,29,1,1203,2853,2223,3102,923,2533,261
8,7,31,1,2143,1748,1781,2157,1461,2144,
53,7,2,2,1952,3637,1811,2730,1772,1172,
10,7,4,2,1737,3572,1953,2559,1543,2231,
17,7,6,2,2696,1608,754,1139,1505,1074,
32,7,8,2,1094,2377,1646,294,1003,3293,
55,7,10,2,786,3067,1470,1441,858,1503,
47,7,12,2,1472,1810,2322,1532,1164,833,
28,7,14,2,1768,2170,1914,1271,2574,1409,113
16,7,16,2,3492,2869,2079,1661,936,818,
25,7,18,2,1763,2933,1497,1425,1449,2237,
