seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
35,3,30,1,0,1,0,1,0,0,
36,3,32,1,0,1,0,0,1,0,
17,3,1,2,0,0,1,0,0,1,
42,3,3,2,0,1,0,0,1,0,
66,3,5,2,0,0,0,0,1,0,
29,3,7,2,0,1,0,0,1,0,
13,3,9,2,0,0,0,0,1,1,
6,3,11,2,0,0,1,0,1,1,
44,3,13,2,0,0,0,0,0,1,
27,3,15,2,0,0,1,,1,0,
56,3,17,2,0,0,0,1,0,1,
47,3,19,2,0,1,0,1,0,1,
10,3,21,2,0,0,0,0,0,0,
33,3,23,2,0,0,0,0,0,1,
59,3,25,2,0,0,0,0,0,1,
50,3,27,2,0,0,1,0,0,1,
21,3,29,2,0,0,0,0,1,1,
53,3,31,2,0,0,0,0,0,1,
43,4,2,1,0,0,0,0,0,0,
55,4,4,1,0,0,0,0,,1,
18,4,6,1,0,0,0,0,0,1,
32,4,8,1,0,1,0,0,0,0,
13,4,10,1,0,0,,1,0,1,
11,4,12,1,0,1,0,1,,1,
46,4,14,1,0,1,0,0,0,0,
26,4,16,1,0,1,0,0,0,0,1
57,4,18,1,0,1,0,0,0,0,
65,4,20,1,0,1,0,0,0,0,
39,4,22,1,0,0,0,0,0,1,
63,4,24,1,0,0,0,0,,1,
12,4,26,1,0,0,0,0,0,0,
22,4,28,1,0,1,0,0,0,1,
5,4,30,1,0,0,0,0,0,0,
45,4,32,1,0,0,0,0,0,0,
49,4,1,2,0,0,0,0,0,0,
35,4,3,2,0,0,0,1,,1,
6,4,5,2,0,0,0,1,0,0,
24,4,7,2,0,0,0,0,0,0,
30,4,9,2,0,0,0,0,,1,
40,4,11,2,0,1,0,0,0,0,
64,4,13,2,0,0,0,0,,1,
34,4,15,2,0,0,0,1,1,1,
47,4,17,2,0,1,0,0,0,0,
29,4,19,2,0,1,0,0,0,0,
8,4,21,2,0,0,0,0,0,0,
52,4,23,2,0,0,0,0,0,0,
15,4,25,2,0,1,1,0,,,
67,4,27,2,0,0,0,0,0,1,
41,4,29,2,0,0,0,1,0,1,
48,4,31,2,0,0,0,1,0,0,
38,5,2,1,0,0,0,0,,1,
43,5,4,1,0,0,0,0,0,0,
40,5,6,1,0,0,0,0,0,1,
31,5,8,1,0,1,0,0,0,0,
22,5,10,1,0,0,0,0,0,1,
18,5,12,1,0,0,0,0,,0,1
35,5,14,1,0,0,0,0,0,0,
15,5,16,1,0,0,0,0,1,1,
47,5,18,1,0,0,0,0,0,0,
16,5,20,1,0,0,0,0,0,1,
21,5,22,1,,,,,1,1,
45,5,24,1,0,0,0,0,1,1,
53,5,26,1,0,0,0,0,1,1,
