seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
33,5,20,2,0,0,0,0,0,1,
25,5,22,2,0,0,0,0,1,1,
11,5,24,2,0,1,1,1,,1,
41,5,26,2,0,0,0,0,0,0,
34,5,28,2,0,0,0,0,0,0,
49,5,30,2,0,1,0,0,0,0,
28,5,32,2,0,0,0,0,0,1,
44,6,1,1,0,0,0,0,,1,
32,6,3,1,0,0,1,0,0,1,
25,6,5,1,0,0,0,0,1,1,
18,6,7,1,0,0,0,1,1,1,
6,6,9,1,0,1,0,0,,1,
14,6,11,1,0,0,0,0,,1,
41,6,13,1,0,0,0,0,0,1,
56,6,15,1,0,0,0,0,0,1,
7,6,17,1,0,0,0,0,0,1,
31,6,19,1,0,1,0,0,1,1,
42,6,21,1,0,0,1,0,0,1,
39,6,23,1,,1,0,0,0,1,
53,6,25,1,0,1,0,0,0,1,
16,6,27,1,0,0,0,0,0,1,
43,6,29,1,0,0,1,0,0,1,
28,6,31,1,0,1,1,0,0,1,
26,6,2,2,0,0,0,0,0,1,
34,6,4,2,0,0,0,0,1,1,
51,6,6,2,0,0,0,0,0,1,
55,6,8,2,0,0,0,0,1,1,
64,6,10,2,0,0,1,1,1,1,
19,6,12,2,0,0,0,0,1,1,
11,6,14,2,0,0,0,0,1,1,
60,6,16,2,0,0,0,1,0,1,
5,6,18,2,0,1,0,0,0,1,
12,6,20,2,0,0,1,0,0,1,
30,6,22,2,0,0,0,0,0,1,
36,6,24,2,0,0,0,0,,1,
66,6,26,2,0,0,0,0,0,1,
40,6,28,2,0,1,0,,1,0,
15,6,30,2,0,1,0,0,0,1,
24,6,32,2,0,0,0,1,0,1,
59,7,1,1,0,1,1,0,,1,
62,7,3,1,0,1,1,0,1,0,
57,7,5,1,0,1,0,0,0,1,
21,7,7,1,0,1,0,0,0,1,
12,7,9,1,0,1,1,1,,1,
34,7,11,1,0,1,1,0,1,1,
68,7,13,1,0,0,1,0,,1,1
66,7,15,1,0,0,0,1,1,1,
27,7,17,1,0,0,1,1,0,1,
31,7,19,1,0,1,0,0,0,1,
40,7,21,1,0,1,1,1,0,1,
36,7,23,1,0,1,0,1,1,1,
52,7,25,1,0,0,1,0,0,0,
37,7,27,1,0,1,0,0,0,1,
24,7,29,1,0,1,1,1,1,0,1
8,7,31,1,0,1,1,1,0,0,
53,7,2,2,0,1,1,0,0,0,
10,7,4,2,0,0,1,1,1,1,
17,7,6,2,0,1,0,1,0,1,
32,7,8,2,0,0,1,0,1,1,
55,7,10,2,0,1,0,0,0,1,
47,7,12,2,0,0,1,1,,1,
28,7,14,2,0,0,1,1,1,1,0
16,7,16,2,0,1,0,0,0,1,
25,7,18,2,0,1,1,1,0,1,
9,7,20,2,0,0,1,1,,1,
30,7,22,2,0,0,1,1,1,1,
35,7,24,2,0,1,0,1,,1,
23,7,26,2,0,1,0,1,1,1,
