seq,subj,item,cond,R1,R2,R3,R4,R5
18,1,1,1,761,,,,107
16,1,3,1,371,,422,,
14,1,5,1,,,,,
41,1,7,1,293,,1544,,
11,1,9,1,,,160,729,
10,1,11,1,,,197,822,684
22,1,13,1,1041,,,714,
13,1,15,1,347,125,,338,148
24,1,17,1,1098,,,,165
37,1,19,1,159,298,2492,,135
29,1,21,1,,1544,918,1935,
35,1,23,1,,245,631,,827
40,1,25,1,,,,,
39,1,27,1,,,498,375,
4,1,29,1,322,,,860,947
38,1,31,1,,,,,231
33,1,2,2,868,,,202,149
7,1,4,2,538,103,,,
5,1,6,2,,,,,
26,1,8,2,808,1639,145,1114,1224
1,1,10,2,,,318,510,2403
21,1,12,2,400,187,,570,122
9,1,14,2,2575,1000,1707,,227
28,1,16,2,1111,130,,,270
20,1,18,2,,141,409,209,324
3,1,20,2,,199,163,406,136
31,1,22,2,,,,,
23,1,24,2,877,93,256,1586,
30,1,26,2,142,381,121,359,190
32,1,28,2,1511,,108,160,431
25,1,30,2,,237,269,,241
36,1,32,2,,,,220,191
13,2,1,1,,634,,,314
5,2,3,1,,,,,
15,2,5,1,614,142,,,
35,2,7,1,,,,,
10,2,9,1,,,,,
32,2,11,1,348,,,,
2,2,13,1,161,147,,,
38,2,15,1,508,1074,,,
27,2,17,1,,,182,,
1,2,19,1,840,104,,,
3,2,21,1,,,,,
23,2,23,1,227,,,,
7,2,25,1,,,,,
41,2,27,1,588,878,,,
37,2,29,1,,,,,
20,2,31,1,123,,605,,
29,2,2,2,,,,,
25,2,4,2,193,1811,,,
39,2,6,2,,122,,,
43,2,8,2,901,167,,,
21,2,10,2,591,133,,,
34,2,12,2,,,,,
8,2,14,2,120,,,,
17,2,16,2,,106,,,
42,2,18,2,,488,,,
33,2,20,2,,,,,
31,2,22,2,112,,,,471
9,2,24,2,935,99,,297,
4,2,26,2,,,,,
12,2,28,2,,,,,
28,2,30,2,95,,,640,
24,2,32,2,181,,,,
23,3,1,1,1406,184,,,126
5,3,3,1,404,158,,,
31,3,5,1,825,,,151,
10,3,7,1,887,1327,1152,795,443
40,3,9,1,695,421,,,
39,3,11,1,3539,,,,
15,3,13,1,1083,,,,306
1,3,15,1,635,,251,171,146
28,3,17,1,,,,,
42,3,19,1,,,1466,,
12,3,21,1,,,,,240
8,3,23,1,2931,,1290,186,314
36,3,25,1,658,1605,173,,
22,3,27,1,150,,142,226,
4,3,29,1,897,247,3129,,
7,3,31,1,2451,1453,,,382
25,3,2,2,1040,1689,,,289
16,3,4,2,1651,,166,105,953
29,3,6,2,,86,,,
20,3,8,2,82,,1749,,
33,3,10,2,1952,126,,,
3,3,12,2,1415,1251,529,97,820
37,3,14,2,875,783,248,,169
19,3,16,2,1306,585,,937,772
2,3,18,2,128,283,,351,1109
35,3,20,2,333,,468,152,180
38,3,22,2,,,,,743
14,3,24,2,,,,,115
27,3,26,2,,,,,
18,3,28,2,680,722,2881,1267,
13,3,30,2,162,548,,,1100
9,3,32,2,397,158,498,660,287
27,4,1,1,,,147,,583
35,4,3,1,,,,,
4,4,5,1,794,,,251,190
14,4,7,1,1443,160,141,128,247
24,4,9,1,,,,,
6,4,11,1,585,,,,
3,4,13,1,245,494,,,
19,4,15,1,,,,,
13,4,17,1,1186,,,,1234
26,4,19,1,,968,,,
32,4,21,1,695,,90,,
16,4,23,1,1747,1063,2563,,
2,4,25,1,376,,144,,200
8,4,27,1,,,252,,368
23,4,29,1,,,,,
12,4,31,1,2092,,,,190
33,4,2,2,,784,,,
10,4,4,2,835,,,,
41,4,6,2,1023,,,497,
20,4,8,2,1091,976,347,169,
37,4,10,2,,,,,
18,4,12,2,1295,1242,,,
29,4,14,2,330,,,,
17,4,16,2,987,1051,,,
31,4,18,2,,1880,123,,
30,4,20,2,,360,814,564,
1,4,22,2,,,252,,
39,4,24,2,1197,718,,,
9,4,26,2,563,933,1269,1406,161
22,4,28,2,2422,1782,1490,812,527
7,4,30,2,,,119,,
40,4,32,2,1150,756,,,
41,5,1,1,,,,,
35,5,3,1,,,,,
30,5,5,1,,,,,
7,5,7,1,,,426,329,
38,5,9,1,283,,,,
6,5,11,1,,,,,382
33,5,13,1,,,,,
9,5,15,1,,,125,410,213
25,5,17,1,281,296,,,737
19,5,19,1,,,,,137
34,5,21,1,,,,,
28,5,23,1,455,,,,
29,5,25,1,198,,,,
26,5,27,1,,,,,
32,5,29,1,,,,,
10,5,31,1,806,,,,369
17,5,2,2,,267,,,
1,5,4,2,345,1068,,,580
23,5,6,2,,,,,
3,5,8,2,,,,398,
12,5,10,2,,,,,
22,5,12,2,1751,,,,
40,5,14,2,,,,675,
20,5,16,2,,340,,129,
37,5,18,2,,,,,
15,5,20,2,,,,,431
11,5,22,2,383,,,,
5,5,24,2,,297,553,,
21,5,26,2,,,,,
16,5,28,2,,,,,
27,5,30,2,,,,,
14,5,32,2,,,,,
32,6,1,1,390,754,375,,
22,6,3,1,767,819,,,
15,6,5,1,,265,,,307
11,6,7,1,742,703,695,528,260
3,6,9,1,796,1059,1719,2266,1841
8,6,11,1,,353,438,,311
29,6,13,1,224,541,,,481
39,6,15,1,741,1330,1046,,
5,6,17,1,437,1073,,,
21,6,19,1,257,1019,,629,
30,6,21,1,674,888,734,619,425
27,6,23,1,545,697,,,
36,6,25,1,1471,830,,315,
10,6,27,1,,774,437,1202,
