seq,subj,item,cond,R1,R2,R3,R4,R5
32,13,28,1,,,,,144
19,13,30,1,1473,,112,,
17,13,32,1,,,,,
12,14,1,1,756,567,,,1273
31,14,3,1,911,514,,,
26,14,5,1,123,,247,251,
28,14,7,1,710,292,714,461,
1,14,9,1,513,1137,2075,1305,
25,14,11,1,,,,,
5,14,13,1,,,,,388
23,14,15,1,,,,,
36,14,17,1,497,,,,
30,14,19,1,886,173,,944,
8,14,21,1,619,773,834,,
21,14,23,1,152,285,499,,
3,14,25,1,,,,,
18,14,27,1,270,383,450,,
24,14,29,1,164,,,,
35,14,31,1,465,,,189,
29,15,2,1,,,,,
22,15,4,1,,523,2381,109,150
5,15,6,1,780,,672,,
3,15,8,1,,,,1827,1112
16,15,10,1,261,,,,
43,15,12,1,,211,326,,
26,15,14,1,,,,103,
8,15,16,1,1488,,,,
19,15,18,1,,143,294,,
33,15,20,1,,,,,
34,15,22,1,,,,,
40,15,24,1,,,,,
31,15,26,1,,,,,
15,15,28,1,377,111,,,
18,15,30,1,,,,,
35,15,32,1,,,,,
37,16,1,1,,113,,,286
25,16,3,1,112,,1326,,
4,16,5,1,296,,,,
10,16,7,1,208,,,,
2,16,9,1,643,,,,203
12,16,11,1,1771,806,,,
28,16,13,1,377,,,,842
1,16,15,1,292,,184,,
8,16,17,1,105,547,,,
6,16,19,1,,183,,,
9,16,21,1,136,81,,,
30,16,23,1,309,,,,
27,16,25,1,582,,,,
39,16,27,1,,,,,
7,16,29,1,,121,,,
21,16,31,1,,,,,
11,17,2,1,624,2157,,1089,1375
36,17,4,1,,,,,
15,17,6,1,,,,,
23,17,8,1,,,,,
30,17,10,1,,,239,,
40,17,12,1,2289,1784,105,610,
42,17,14,1,833,1187,838,1054,
29,17,16,1,,,,,
4,17,18,1,1896,,1979,,
41,17,20,1,3270,6393,473,420,353
39,17,22,1,451,1247,,,
13,17,24,1,,,,,
6,17,26,1,,,303,2547,499
21,17,28,1,2354,816,940,,
14,17,30,1,448,,,,
35,17,32,1,,,,,
2,18,2,1,1303,1210,,333,672
5,18,4,1,568,,,,708
40,18,6,1,255,2419,1319,,236
33,18,8,1,456,1548,332,,
10,18,10,1,,929,912,611,
24,18,12,1,1406,,,,
19,18,14,1,2212,355,,330,432
13,18,16,1,3827,7889,5410,,
28,18,18,1,8898,3127,2516,1830,800
26,18,20,1,341,416,437,,
9,18,22,1,,1529,1666,,
22,18,24,1,1522,1126,,333,845
25,18,26,1,,,,,
42,18,28,1,425,773,1138,,
4,18,30,1,4410,6205,,,
32,18,32,1,3110,6177,,,
42,19,1,1,,240,,,
36,19,3,1,,191,1314,,
31,19,5,1,,1627,,,
7,19,7,1,2280,1655,830,622,
39,19,9,1,1248,891,,,
6,19,11,1,,84,,,
34,19,13,1,1287,1007,863,,
9,19,15,1,421,,,,
26,19,17,1,1515,,,645,
19,19,19,1,,,1766,,
35,19,21,1,425,,,,
29,19,23,1,,,,,
30,19,25,1,718,1831,,,
27,19,27,1,207,,,,
33,19,29,1,,,,,
10,19,31,1,648,,,,
40,20,1,1,267,,,452,
25,20,3,1,,142,,,
23,20,5,1,210,234,,,
1,20,7,1,955,217,,,
37,20,9,1,,,,,
42,20,11,1,,,,,
19,20,13,1,,,,,271
27,20,15,1,,,,,
4,20,17,1,178,,627,,
18,20,19,1,266,,,,
9,20,21,1,,,173,,
13,20,23,1,248,551,,,
8,20,25,1,,,,,
5,20,27,1,,,,,
11,20,29,1,,217,,,
39,20,31,1,539,,,,
18,21,2,1,,137,,983,1893
41,21,4,1,532,,,466,
1,21,6,1,729,,,,
16,21,8,1,,260,,530,520
31,21,10,1,582,,,,
4,21,12,1,332,113,251,377,
40,21,14,1,,,,,
24,21,16,1,,,,,
34,21,18,1,244,294,,313,195
12,21,20,1,1427,666,745,501,
35,21,22,1,1213,986,,,
23,21,24,1,838,158,,,242
20,21,26,1,769,785,748,125,
15,21,28,1,910,,,209,
38,21,30,1,470,,,,
28,21,32,1,702,,,,
21,1,1,2,752,894,1289,2096,1322
3,1,3,2,1588,628,,1657,670
19,1,5,2,,,1348,771,
32,1,7,2,3135,3649,4287,2580,593
11,1,9,2,858,1912,2003,2458,532
28,1,11,2,825,2103,479,260,537
38,1,13,2,418,1027,1003,,169
9,1,15,2,267,1759,604,913,
8,1,17,2,676,743,1747,3612,
10,1,19,2,9777,812,1596,,
36,1,21,2,,604,512,1303,689
1,1,23,2,532,,1238,,643
2,1,25,2,1287,720,730,1117,
13,1,27,2,356,,2657,572,
40,1,29,2,2636,1135,1785,1195,1026
16,1,31,2,1785,3104,3469,1829,1267
28,2,2,2,,275,,327,281
12,2,4,2,1651,1456,1049,815,228
6,2,6,2,631,,179,,
10,2,8,2,,240,,341,1812
25,2,10,2,429,,,,200
39,2,12,2,,,166,,236
42,2,14,2,1389,791,1196,1006,624
41,2,16,2,,1241,,133,126
31,2,18,2,,,,117,
19,2,20,2,,,,966,1844
1,2,22,2,1896,1699,1059,499,426
34,2,24,2,,449,702,515,443
9,2,26,2,214,,257,,283
32,2,28,2,,,1753,272,644
27,2,30,2,785,1223,757,769,589
18,2,32,2,854,441,1061,,
29,3,1,2,,145,,264,
11,3,3,2,,287,,,324
7,3,5,2,,577,275,,
34,3,7,2,,,154,,
42,3,9,2,,,,620,
33,3,11,2,,,,,
27,3,13,2,321,,,,
37,3,15,2,,536,,475,404
21,3,17,2,211,411,,,
36,3,19,2,568,976,,,
16,3,21,2,,668,,,
3,3,23,2,1145,,,,
10,3,25,2,118,,408,,
38,3,27,2,,,,,
31,3,29,2,,,,,
39,3,31,2,,,,199,406
7,4,2,2,265,,,,812
9,4,4,2,577,,,,1331
5,4,6,2,832,511,,134,
13,4,8,2,,,,,1042
36,4,10,2,445,,,,133
39,4,12,2,448,,,,
12,4,14,2,698,184,,211,724
3,4,16,2,,,,,176
42,4,18,2,,,,,720
30,4,20,2,,110,120,,
21,4,22,2,247,226,183,198,
17,4,24,2,,,150,188,
4,4,26,2,547,342,373,,
11,4,28,2,1456,217,402,227,
23,4,30,2,,,,,
43,4,32,2,,,,,
14,5,1,2,,202,,,
22,5,3,2,,,,,
7,5,5,2,,,,,
20,5,7,2,834,,197,287,
28,5,9,2,155,316,167,,
18,5,11,2,,,,,
41,5,13,2,,,,,
36,5,15,2,,,,,
2,5,17,2,,,,,
32,5,19,2,,164,,,270
38,5,21,2,,,,,
34,5,23,2,,,,,
42,5,25,2,359,,,151,
9,5,27,2,,,,,
19,5,29,2,188,2577,,,234
10,5,31,2,,,,,
2,6,2,2,4093,1305,1918,534,
8,6,4,2,3214,2382,,1106,624
4,6,6,2,2130,855,353,,
34,6,8,2,773,,,,
24,6,10,2,497,1059,137,,170
41,6,12,2,,627,221,132,
39,6,14,2,266,852,,938,926
10,6,16,2,266,814,1369,525,366
11,6,18,2,1109,,,,176
30,6,20,2,566,1008,486,,290
12,6,22,2,,1582,,271,
1,6,24,2,1975,1105,844,672,
17,6,26,2,450,224,,,
26,6,28,2,,659,1380,747,186
6,6,30,2,923,1807,1356,1181,175
13,6,32,2,938,1256,1427,1491,830
40,7,1,2,,,,,
14,7,3,2,,,,,
35,7,5,2,,,,,
16,7,7,2,,,382,,
33,7,9,2,,,,,
38,7,11,2,,,,,
2,7,13,2,868,142,,,
24,7,15,2,,,,,
3,7,17,2,1344,1697,,,
20,7,19,2,,,,,
19,7,21,2,,,248,2080,
30,7,23,2,,,,,
13,7,25,2,,,,601,
6,7,27,2,,,,,517
39,7,29,2,,,,,
32,7,31,2,,,,,
1,8,2,2,234,,,,672
39,8,4,2,360,,,,
12,8,6,2,269,,,,
35,8,8,2,,,,,
17,8,10,2,,,,195,
3,8,12,2,1044,,,,
7,8,14,2,299,,,,
32,8,16,2,603,,,1097,
21,8,18,2,,,,765,
8,8,20,2,,,,,
34,8,22,2,,,,,
38,8,24,2,,173,,,
31,8,26,2,543,,,,
26,8,28,2,1266,,,,
37,8,30,2,,,,,
42,8,32,2,,115,,,
8,9,1,2,296,1355,377,1194,
5,9,3,2,,1332,,1254,346
21,9,5,2,2010,191,278,541,489
42,9,7,2,1077,900,439,706,617
39,9,9,2,1075,215,,,
18,9,11,2,1101,227,,,
7,9,13,2,1352,955,2043,2943,848
30,9,15,2,1492,309,,,
36,9,17,2,627,679,323,675,
33,9,19,2,240,336,960,235,
13,9,21,2,1511,1936,,,395
34,9,23,2,1151,652,640,138,
1,9,25,2,266,,752,,156
41,9,27,2,,,1592,,
31,9,29,2,1958,352,,,425
10,9,31,2,981,,1635,486,260
35,10,2,2,1021,155,,664,198
16,10,4,2,,,,,
25,10,6,2,694,403,108,,
7,10,8,2,,,314,266,
41,10,10,2,,,,,117
5,10,12,2,703,697,150,502,
33,10,14,2,289,586,124,243,
11,10,16,2,,1096,,,
23,10,18,2,290,,247,,396
10,10,20,2,,,,,
38,10,22,2,720,,,,413
37,10,24,2,,365,811,1232,621
19,10,26,2,231,,,,
12,10,28,2,848,504,910,,288
4,10,30,2,1844,1334,1607,691,628
32,10,32,2,504,,,,
25,11,1,2,3594,604,1382,803,647
27,11,3,2,641,271,717,320,
22,11,5,2,2686,3005,680,1662,590
10,11,7,2,421,857,440,,329
4,11,9,2,1784,2154,196,1556,
38,11,11,2,561,1314,256,310,503
9,11,13,2,2943,614,611,138,396
1,11,15,2,461,697,548,641,981
16,11,17,2,3690,1500,2641,2419,1004
34,11,19,2,862,,421,128,91
35,11,21,2,1989,1045,596,1778,425
36,11,23,2,5974,2455,4573,1231,1350
20,11,25,2,1228,512,517,307,753
2,11,27,2,,,,,135
21,11,29,2,1137,1886,1060,516,
39,11,31,2,532,521,791,761,616
10,12,2,2,,,,,
21,12,4,2,126,,,,
27,12,6,2,,,,,
16,12,8,2,,,,,232
7,12,10,2,,,,,
14,12,12,2,,,,,
37,12,14,2,,,,,
20,12,16,2,,,,,
29,12,18,2,,,,,
9,12,20,2,,,,,
19,12,22,2,,,,,
32,12,24,2,,,,,
1,12,26,2,123,,,,
15,12,28,2,,,,,
6,12,30,2,,,,,
24,12,32,2,,,,193,
26,13,1,2,158,,,,
28,13,3,2,,,,,
22,13,5,2,,,,,
10,13,7,2,1525,,,,
4,13,9,2,873,180,,,
39,13,11,2,,,,,
9,13,13,2,1105,299,,,
1,13,15,2,,,,,
16,13,17,2,,,,,
35,13,19,2,459,,,,
36,13,21,2,,219,,,
37,13,23,2,718,,,,
20,13,25,2,,,,,
2,13,27,2,,,,,
21,13,29,2,169,,,,
40,13,31,2,,,,940,
6,14,2,2,,259,,,180
33,14,4,2,2516,346,,,445
10,14,6,2,,,,516,
38,14,8,2,462,394,581,440,
16,14,10,2,,,,,617
20,14,12,2,377,,,,
42,14,14,2,1962,,,563,
4,14,16,2,995,,,,
14,14,18,2,,865,,170,242
15,14,20,2,579,479,,,
41,14,22,2,329,403,1745,196,
19,14,24,2,,,,,
40,14,26,2,1417,,,,
22,14,28,2,,,499,,168
37,14,30,2,551,,,659,305
9,14,32,2,440,486,1446,614,
36,15,1,2,401,144,,,
1,15,3,2,,,,,
10,15,5,2,221,143,,218,
20,15,7,2,619,151,199,,
38,15,9,2,,,400,,
28,15,11,2,,,474,,
27,15,13,2,,,126,,
25,15,15,2,,,,,
13,15,17,2,393,,,220,
7,15,19,2,775,299,,,
9,15,21,2,441,449,380,262,933
14,15,23,2,,,,,
41,15,25,2,,,,,190
42,15,27,2,,,,,
12,15,29,2,217,509,,,
32,15,31,2,,112,,,
16,16,2,2,281,,,,688
14,16,4,2,437,,409,,
41,16,6,2,,555,,,
19,16,8,2,,,,,
35,16,10,2,,,,,
31,16,12,2,822,,,328,
18,16,14,2,553,198,,,
43,16,16,2,,,,,108
13,16,18,2,194,1783,,,417
23,16,20,2,,,,,
32,16,22,2,,,,,
24,16,24,2,272,,,1465,
40,16,26,2,,,,,
34,16,28,2,474,,,,141
22,16,30,2,381,,,,
33,16,32,2,260,185,,,
27,17,1,2,1090,,,,
7,17,3,2,,,,,
1,17,5,2,4671,3207,,1165,2169
9,17,7,2,1115,1381,1377,,
18,17,9,2,544,749,,805,573
32,17,11,2,1737,8585,,,
20,17,13,2,,,,,711
25,17,15,2,,542,,,824
34,17,17,2,685,848,851,324,610
5,17,19,2,1277,,3151,127,
26,17,21,2,,,,,
38,17,23,2,,,,107,514
22,17,25,2,558,3838,1164,1896,
3,17,27,2,,,,1280,544
33,17,29,2,7249,554,,,
17,17,31,2,1727,,,,
7,18,1,2,,187,768,154,
38,18,3,2,3870,,238,803,
35,18,5,2,386,4336,2090,1165,87
20,18,7,2,3057,2890,665,184,967
29,18,9,2,,143,977,674,
27,18,11,2,224,371,480,,
14,18,13,2,221,,159,655,
12,18,15,2,2128,4287,4408,2878,2152
16,18,17,2,1149,618,1520,380,1349
17,18,19,2,739,749,651,,261
18,18,21,2,1193,326,,586,
37,18,23,2,2271,381,,,
23,18,25,2,640,100,,755,
15,18,27,2,240,265,,,621
1,18,29,2,108,1310,846,2493,458
31,18,31,2,1710,460,2860,304,595
17,19,2,2,886,1911,565,,
1,19,4,2,,,,,
24,19,6,2,248,,,,
3,19,8,2,570,555,543,1416,
12,19,10,2,,,,,314
22,19,12,2,,,,360,
41,19,14,2,,295,,,
20,19,16,2,,562,,,566
38,19,18,2,612,2014,,,
15,19,20,2,952,1296,612,,
11,19,22,2,3224,3505,1194,999,548
5,19,24,2,1218,902,,,
21,19,26,2,1093,1263,1881,,
16,19,28,2,1713,,,,
28,19,30,2,,,,,
14,19,32,2,250,,,,
14,20,2,2,385,706,209,,
28,20,4,2,,,,,
6,20,6,2,,,,,
33,20,8,2,,,,,
35,20,10,2,,,,,
17,20,12,2,1635,665,,,
31,20,14,2,,194,,,
10,20,16,2,,275,,,
22,20,18,2,,,,,
30,20,20,2,,,,,
32,20,22,2,,,,,
3,20,24,2,733,196,,,166
21,20,26,2,,,,,
12,20,28,2,,,,,
20,20,30,2,646,,,743,
16,20,32,2,,,,,
21,21,1,2,755,139,,,244
8,21,3,2,,,,410,444
29,21,5,2,,,,,
5,21,7,2,,,,,
13,21,9,2,,,,435,240
7,21,11,2,209,556,,,255
26,21,13,2,,,344,,
10,21,15,2,,,,,
33,21,17,2,340,,112,,633
3,21,19,2,155,,,416,
37,21,21,2,,,,191,
25,21,23,2,1080,1359,358,997,178
11,21,25,2,210,,,913,565
36,21,27,2,422,,,,
27,21,29,2,3446,1074,,,349
39,21,31,2,,,,1163,328
