seq,subj,item,cond,R1,R2,R3,R4,R5
11,1,2,1,1514,1288,,,
36,1,4,1,1427,,,,
15,1,6,1,463,1527,,,
23,1,8,1,352,191,,,
30,1,10,1,937,,,,
40,1,12,1,1570,3165,,,
42,1,14,1,390,229,,,
29,1,16,1,1693,1510,190,99,
4,1,18,1,1578,695,,,
41,1,20,1,2757,3732,,,
39,1,22,1,584,,,,184
13,1,24,1,771,542,,,
6,1,26,1,1083,,1145,918,904
21,1,28,1,757,1302,1484,814,
14,1,30,1,1371,1213,592,240,
35,1,32,1,1381,1157,869,1218,596
2,2,2,1,,,,,
5,2,4,1,,141,,,499
40,2,6,1,81,,,,
33,2,8,1,,,,,
10,2,10,1,,,,,
24,2,12,1,,,,,
19,2,14,1,,,,553,355
13,2,16,1,,,,,
28,2,18,1,,,,,
26,2,20,1,,,,558,
9,2,22,1,347,,,,
22,2,24,1,,,,,283
25,2,26,1,,,,,
42,2,28,1,,284,,,288
4,2,30,1,,,,,
32,2,32,1,,,,,
18,3,2,1,882,299,,,
36,3,4,1,,,,,
26,3,6,1,,,,,
29,3,8,1,,,209,,
32,3,10,1,,,,,
8,3,12,1,,,,,
10,3,14,1,494,,,,
21,3,16,1,,,,,
39,3,18,1,,,,,
38,3,20,1,1207,374,,,
7,3,22,1,,,,,
42,3,24,1,,,,,
12,3,26,1,1436,,,,
20,3,28,1,191,,173,,
16,3,30,1,359,,,,
17,3,32,1,653,,,,188
27,4,2,1,,,,,
36,4,4,1,,,,,
10,4,6,1,,,,86,
19,4,8,1,598,,,,
7,4,10,1,332,,,,
5,4,12,1,245,,1180,,
30,4,14,1,,,,,
15,4,16,1,,,,,
38,4,18,1,223,,,,
41,4,20,1,168,,,,
24,4,22,1,,169,,,
39,4,24,1,,,,,
6,4,26,1,,,,,
12,4,28,1,,,,,
1,4,30,1,,,,,
29,4,32,1,,,,,
24,5,2,1,,,346,,
28,5,4,1,,,,,
26,5,6,1,,,,,
18,5,8,1,335,,,,
11,5,10,1,,,,,
9,5,12,1,,,,,
21,5,14,1,,,,,
7,5,16,1,,,305,,
32,5,18,1,,,,,
8,5,20,1,,,,,
10,5,22,1,,,183,,
30,5,24,1,,,337,140,
34,5,26,1,119,,,,198
33,5,28,1,,,,,
13,5,30,1,,207,,,
6,5,32,1,,207,,,
23,6,2,1,,,,,
39,6,4,1,,,,,
37,6,6,1,,,231,,
9,6,8,1,1528,202,,972,
13,6,10,1,,189,,,
12,6,12,1,5262,197,124,,
20,6,14,1,,,1181,,
11,6,16,1,,538,,,
16,6,18,1,,121,,,
22,6,20,1,,565,,,
29,6,22,1,1302,,,,
5,6,24,1,1138,,,,141
25,6,26,1,,202,1929,2136,
6,6,28,1,,,,172,293
36,6,30,1,,,,,
31,6,32,1,,,,,
5,7,2,1,1150,,,,150
12,7,4,1,,,,,
1,7,6,1,,,158,,
8,7,8,1,,,,,
35,7,10,1,374,,,,
