seq,subj,item,cond,R1,R2,R3,R4,R5,R6
32,4,31,2,4012,2624,2282,2130,1459,1657
24,5,2,1,2026,1900,2791,1488,1406,956
28,5,4,1,1669,2454,2313,1994,995,934
26,5,6,1,1864,2705,1963,1731,1706,830
18,5,8,1,1596,1832,1491,900,1906,1596
11,5,10,1,1592,1648,2355,1442,1353,1448
9,5,12,1,1396,3412,2632,1936,833,935
21,5,14,1,1261,1399,1634,1462,1118,667
7,5,16,1,3198,2017,2497,2023,1006,1403
32,5,18,1,2202,2435,1924,1224,1394,731
8,5,20,1,3834,2489,1968,1556,936,1251
10,5,22,1,1289,2234,1866,1499,1329,1530
30,5,24,1,2983,1341,1478,2154,895,1282
34,5,26,1,2914,2997,2243,1110,1671,877
33,5,28,1,3082,1741,2412,1401,2003,2774
13,5,30,1,2127,3087,2251,2059,1952,1672
6,5,32,1,1885,2175,1630,1452,962,1075
35,5,1,2,2621,2669,1173,1803,1434,2228
4,5,3,2,2684,1240,1510,1141,1444,1526
37,5,5,2,4012,3168,1859,1302,853,1225
22,5,7,2,3066,1436,1657,1211,755,761
39,5,9,2,2361,1765,1497,785,1445,1157
31,5,11,2,2354,3661,1979,1450,760,1276
16,5,13,2,2360,1534,2120,1804,1531,1442
42,5,15,2,1903,3339,2105,1331,1765,1159
15,5,17,2,2201,1490,2132,1721,1253,1803
20,5,19,2,1965,1854,1790,1603,1029,2060
2,5,21,2,1975,2093,1211,1638,981,2155
14,5,23,2,1789,1431,2206,2249,1152,1384
17,5,25,2,2280,2113,1450,1813,1554,1380
3,5,27,2,2580,1945,1622,1569,1441,1480
41,5,29,2,3823,3341,2166,1863,1427,966
1,5,31,2,2310,2087,2192,1357,1746,1857
23,6,2,1,2271,2990,1349,1927,1891,3297
39,6,4,1,1766,2565,1304,1727,1281,2664
37,6,6,1,2054,2574,5070,2911,1501,1164
9,6,8,1,3779,1761,1192,1417,2369,2091
13,6,10,1,1265,1528,1213,1409,2056,1224
12,6,12,1,6772,4388,2292,2311,1558,1614
20,6,14,1,1484,1020,2754,1900,1282,1629
11,6,16,1,3387,2250,1841,4306,1313,1418
16,6,18,1,5083,3134,1442,1554,1034,1213
22,6,20,1,1921,2427,2367,1219,1408,2120
29,6,22,1,3142,1394,1237,1328,1479,871
5,6,24,1,3512,3689,2175,2034,1035,1679
25,6,26,1,1630,1464,3843,3962,1695,1866
6,6,28,1,3842,2019,1564,1761,1391,2422
36,6,30,1,2961,1605,1701,2642,1857,2263
31,6,32,1,1867,1891,1354,1257,1199,1048
32,6,1,2,1579,2947,1226,1586,1322,2359
18,6,3,2,3218,1329,1829,2642,1409,2243
27,6,5,2,2461,1771,1385,1442,1180,1272
41,6,7,2,2329,1913,2010,1614,1371,1184
7,6,9,2,4950,3900,1496,3191,1880,1158
21,6,11,2,2422,2447,1739,4440,1151,1515
26,6,13,2,2291,932,2468,1437,1675,1447
3,6,15,2,1813,3042,2918,3398,2297,2301
15,6,17,2,1567,2044,1660,1603,2577,2622
35,6,19,2,2439,2299,3083,1787,1642,2359
17,6,21,2,2896,1634,1388,2667,1449,1103
30,6,23,2,1975,982,1431,2120,1370,3001
4,6,25,2,1810,1694,2639,1780,1213,2762
34,6,27,2,2359,1409,1341,2092,1983,2159
2,6,29,2,4651,3550,3799,2038,2809,2211
1,6,31,2,5093,2106,1800,3669,2082,3412
5,7,2,1,3026,2010,1959,1155,1567,1103
12,7,4,1,1343,2996,1657,3237,1038,1366
1,7,6,1,1996,2914,2699,1535,1672,1653
8,7,8,1,1030,1278,1372,1038,1386,1472
35,7,10,1,2271,1466,1058,1299,1005,650
3,7,12,1,1607,2236,1514,1901,1373,959
10,7,14,1,1754,1266,1632,708,1479,1434
21,7,16,1,2104,2548,2905,2114,914,1417
18,7,18,1,2617,1803,2615,1835,1158,992
7,7,20,1,4404,1825,1795,2841,871,1114
17,7,22,1,1818,2062,1643,1453,1115,1575
11,7,24,1,1868,1589,1267,1395,794,1163
42,7,26,1,1778,1905,1394,879,876,1042
34,7,28,1,1896,1975,4312,1536,1188,941
37,7,30,1,4757,2039,1455,2244,1140,724
22,7,32,1,1288,1706,1318,1370,701,590
28,7,1,2,1373,2631,1795,1342,1481,1043
23,7,3,2,1710,1606,1583,1856,1480,1552
31,7,5,2,1720,1238,2167,1507,947,1128
19,7,7,2,1766,1336,1606,1639,932,1268
14,7,9,2,2383,2851,1728,1453,1038,1107
30,7,11,2,1247,2009,1397,895,705,764
25,7,13,2,2225,1791,2085,2426,1235,468
16,7,15,2,2035,1365,2340,1431,1528,1231
40,7,17,2,3252,3361,1531,1654,1764,1491
38,7,19,2,2027,2103,1729,1125,1296,1459
27,7,21,2,2620,1327,1174,1575,1130,1075
41,7,23,2,1697,1705,1556,1216,1230,598
26,7,25,2,1368,1395,1256,1847,858,898
4,7,27,2,2789,2029,2031,1854,1491,1454
43,7,29,2,2975,2108,1644,1341,1228,1649
39,7,31,2,1857,1839,1718,2339,1084,1557
37,8,1,1,1975,3365,1689,4647,1760,1159
25,8,3,1,3064,2180,3754,2739,1607,1542
4,8,5,1,2669,2699,1681,2208,2239,1038
10,8,7,1,2597,2439,1661,3847,859,1724
2,8,9,1,2261,2101,2131,1409,1652,1708
12,8,11,1,4062,4952,2061,1288,700,778
28,8,13,1,4631,2163,2475,4727,2677,1627
1,8,15,1,2018,4274,4175,1945,2092,838
8,8,17,1,2370,2089,2043,1194,1331,2780
6,8,19,1,2208,2565,3953,1165,1357,3541
9,8,21,1,3503,1792,3196,3901,1656,925
30,8,23,1,2332,2315,2251,1133,1096,1366
27,8,25,1,2821,2081,1360,3310,854,1259
39,8,27,1,2233,2026,1845,2050,750,1288
7,8,29,1,3681,2451,2987,2297,1351,1078
21,8,31,1,2849,2811,2049,1010,1477,1412
16,8,2,2,4380,4294,3397,3629,2144,1449
14,8,4,2,1724,3488,2189,2495,2821,2463
41,8,6,2,1802,3235,1648,1449,1127,635
19,8,8,2,2426,1941,1199,1258,1395,2186
35,8,10,2,1302,2192,2152,1640,1376,864
31,8,12,2,2276,3369,2287,2637,1824,507
18,8,14,2,2820,1854,1830,1187,931,941
43,8,16,2,2524,1544,1608,1566,962,743
13,8,18,2,2115,4809,2221,1255,2077,1241
23,8,20,2,3344,2729,2429,2325,836,1464
32,8,22,2,1533,2376,2431,966,3830,979
