seq,subj,item,cond,R1,R2,R3,R4,R5,R6
15,1,1,1,3830,2079,1982,1700,1944,975
27,1,3,1,2197,1457,2248,1750,1987,1444
12,1,5,1,3174,4572,4440,2531,1188,1408
22,1,7,1,4740,1826,1236,1940,1605,1556
36,1,9,1,2867,2981,1428,1434,1479,1002
39,1,11,1,3706,4098,2824,1073,1214,1847
11,1,13,1,4712,3333,3416,1398,1602,1569
33,1,15,1,4290,4988,1520,1738,1234,1807
34,1,17,1,3596,2579,2920,2167,1383,2073
40,1,19,1,6098,252,3066,127,1433,1753
25,1,21,1,2086,2724,2064,3123,1666,1326
29,1,23,1,4778,2214,1155,1104,1034,1087
24,1,25,1,3641,2211,1750,2174,1265,1225
1,1,27,1,3176,2528,1945,1073,1440,1175
26,1,29,1,3467,2188,3369,2997,1881,1723
21,1,31,1,6229,2182,2265,1988,3019,855
9,1,2,2,5331,2234,2711,2003,1944,977
31,1,4,2,1633,3292,1201,1435,1876,1473
4,1,6,2,3737,2237,2240,3601,2359,1085
41,1,8,2,4637,2946,1285,2104,4423,3028
2,1,10,2,1766,455,3218,481,1210,1344
8,1,12,2,2898,186,2654,2013,1634,904
20,1,14,2,3138,2058,1689,1706,1773,764
14,1,16,2,3822,1801,2312,2450,881,1277
7,1,18,2,2591,2096,2690,2427,1335,1148
19,1,20,2,3676,1696,3244,1875,1240,1176
38,1,22,2,6551,2162,4305,391,1269,1213
18,1,24,2,3317,2796,1846,2252,956,1099
35,1,26,2,2556,2754,453,1744,1799,2041
6,1,28,2,4730,324,1643,3532,1751,1995
17,1,30,2,2195,2936,1728,1666,1540,1558
30,1,32,2,1905,1961,2532,1548,1007,646
22,2,1,1,3739,4611,1918,3525,5142,3013
8,2,3,1,5466,2771,4257,4978,2498,3189
35,2,5,1,5086,3094,2161,3074,2453,2772
5,2,7,1,3901,4815,3676,6744,3763,3487
14,2,9,1,2899,2792,2444,3489,2618,3826
33,2,11,1,3097,4142,2683,2634,2846,2276
40,2,13,1,4815,3443,4918,2460,3603,
24,2,15,1,2009,3297,3447,3227,2366,3466
28,2,17,1,4013,4921,3756,2885,5023,3895
16,2,19,1,4968,3496,544,7189,5541,4282
17,2,21,1,,3482,2565,3759,3753,2629
31,2,23,1,,4088,2386,2997,3600,3496
27,2,25,1,2457,3809,3714,4965,972,119
34,2,27,1,3557,3172,2690,4039,1316,3304
38,2,29,1,5665,2591,3694,3721,2554,4001
18,2,31,1,5022,3339,3097,3429,3034,2828
2,2,2,2,4610,3998,4176,5173,5663,2341
20,2,4,2,903,558,2948,5054,3785,3024
10,2,6,2,3973,3122,3423,4447,4022,3201
29,2,8,2,2642,3586,3511,3023,4913,2974
25,2,10,2,2712,379,2458,2480,3547,2547
32,2,12,2,3301,569,2880,5817,2192,218
4,2,14,2,2864,758,5469,3844,3703,1484
42,2,16,2,3214,2846,3459,2144,3090,2352
1,2,18,2,3471,3807,5352,5012,2592,2878
12,2,20,2,7176,5049,3758,4092,3543,3433
19,2,22,2,3483,4021,3335,2705,3602,3351
13,2,24,2,5218,2146,2883,4408,2512,4290
37,2,26,2,2616,2043,3683,3456,2919,1846
7,2,28,2,4084,2719,4086,5097,3537,6375
39,2,30,2,4606,4471,2640,3607,3257,4036
41,2,32,2,2133,3565,4308,3623,2529,
14,3,1,1,4954,1288,1186,1795,2632,1328
27,3,3,1,2656,1782,2672,3336,1257,2422
11,3,5,1,1603,2748,395,179,1815,686
23,3,7,1,2665,2258,1891,1814,1232,4712
31,3,9,1,1535,1313,1353,992,978,1255
40,3,11,1,,3900,4054,4289,1684,1980
25,3,13,1,2242,2431,2690,2466,1936,1033
22,3,15,1,801,3480,2667,1522,984,871
8,3,17,1,3219,2160,531,284,923,1169
41,3,19,1,3959,2781,4713,1112,1689,1771
3,3,21,1,5557,2960,1314,1646,1348,1132
21,3,23,1,3220,2364,1929,1124,1370,1686
20,3,25,1,2037,2454,1657,1906,788,675
36,3,27,1,2652,1861,1281,2548,2263,1953
9,3,29,1,3453,1780,2016,2121,1390,1500
10,3,31,1,2482,2616,2091,1255,803,1194
16,3,2,2,2128,1630,1153,1796,1469,978
18,3,4,2,1504,3294,2622,1553,819,1369
4,3,6,2,4037,2317,2211,1339,1382,759
38,3,8,2,1172,1467,1328,1255,1926,974
6,3,10,2,1042,1507,852,1087,811,820
26,3,12,2,1203,4509,2390,2772,1436,516
33,3,14,2,3010,1381,1810,3073,1563,1443
30,3,16,2,1317,3662,3065,1631,1303,793
34,3,18,2,1490,2950,3248,1878,1062,731
13,3,20,2,2550,3269,474,389,919,1523
2,3,22,2,2346,2239,2529,923,990,1050
1,3,24,2,3259,2995,2323,2446,1138,1336
35,3,26,2,2291,1471,2916,1279,1409,625
42,3,28,2,3915,3558,3669,2223,1452,2115
