w_DBP01_fa.asc:1
w_DBP02_fa.asc:0
w_DBP03_fa.asc:1
w_DBP04_fa.asc:0
w_DBP05_fa.asc:1
w_DBP06_fa.asc:0
w_DBP07_fa.asc:1
w_DBP08_fa.asc:0
w_DBP09_fa.asc:1
w_DBP10_fa.asc:0
w_DBP11_fa.asc:1
w_DBP12_fa.asc:0
w_DBP13_fa.asc:1
w_DBP14_fa.asc:0
w_DBP15_fa.asc:2
w_DBP16_fa.asc:0
w_DBP17_fa.asc:1
w_DBP18_fa.asc:0
w_DBP19_fa.asc:1
w_DBP20_fa.asc:0
w_DBP21_fa.asc:1
w_DBP22_fa.asc:0
w_DBP23_fa.asc:1
w_DBP25_fa.asc:1
w_DBP26_fa.asc:0
w_DBP28_fa.asc:0
w_DBP29_fa.asc:1
w_DBP30_fa.asc:0
w_DBP31_fa.asc:1
w_DBP32_fa.asc:0
w_DBP33_fa.asc:1
w_DBP34_fa.asc:0
w_DBP36_fa.asc:0
w_DBP37_fa.asc:1
w_DBP38_fa.asc:0
w_DBP39_fa.asc:0
w_DBP40_fa.asc:0
w_DBP41_fa.asc:1
w_DBP42_fa.asc:0
w_DBP43_fa.asc:0
w_DBP44_fa.asc:0
w_DBP45_fa.asc:1
w_DBP46_fa.asc:0
w_DBP47_fa.asc:1
w_DBP48_fa.asc:0
w_DBP49_fa.asc:1
w_DBP50_fa.asc:0
w_DBP51_fa.asc:1
w_DBP53_fa.asc:1
w_DBP54_fa.asc:0
w_DBP55_fa.asc:1
w_DBP56_fa.asc:0
w_DBP57_fa.asc:1
w_DBP58_fa.asc:0
w_DBP59_fa.asc:1
w_DBP60_fa.asc:0
w_DBP61_fa.asc:1
w_DBP62_fa.asc:0
w_DBP63_fa.asc:1
w_DBP64_fa.asc:0
w_DBP65_fa.asc:2
w_DBP66_fa.asc:0
w_DBP67_fa.asc:0
w_DBP68_fa.asc:0
w_DBP69_fa.asc:0
w_DBP70_fa.asc:0
w_DBP71_fa.asc:0
w_DBP72_fa.asc:0
w_DBP73_fa.asc:0
w_DBP74_fa.asc:0
w_DBP75_fa.asc:0
w_DBP76_fa.asc:0
w_DBP77_fa.asc:0
w_DBP78_fa.asc:0
w_DBP79_fa.asc:0
w_DBP80_fa.asc:0
w_DBP81_fa.asc:0
w_DBP82_fa.asc:0
w_DBP83_fa.asc:0
