seq,subj,item,cond,R1,R2,R3,R4,R5,R6
32,4,31,2,4012,2624,2002,2410,1459,1657
24,5,2,1,2026,1900,2445,1488,1406,1302
28,5,4,1,1669,2454,2313,1994,995,934
26,5,6,1,1864,2705,1963,1731,1706,830
18,5,8,1,1261,2167,1491,900,1906,1596
11,5,10,1,1592,1648,2355,1442,1353,1448
9,5,12,1,1396,3412,2632,1936,833,935
21,5,14,1,1261,1399,1634,1462,1118,667
7,5,16,1,3198,2017,2192,2023,1006,1708
32,5,18,1,2202,2435,1924,1224,1394,731
8,5,20,1,3834,2489,1968,1556,936,1251
10,5,22,1,1289,2234,1683,1499,1329,1713
30,5,24,1,2983,1341,1141,2014,895,1759
34,5,26,1,2795,2997,2243,1110,1473,1194
33,5,28,1,3082,1741,2412,1401,2003,2774
13,5,30,1,2127,2880,2251,2059,1952,1879
6,5,32,1,1885,1968,1630,1452,962,1282
35,5,1,2,1433,2669,1173,1803,1260,3590
4,5,3,2,2684,1240,1510,1141,1444,1526
37,5,5,2,4012,3168,1859,1302,853,1225
22,5,7,2,3066,1436,1657,1211,755,761
39,5,9,2,2361,1765,1497,785,1445,1157
31,5,11,2,2354,3141,2100,1450,760,1675
16,5,13,2,2360,1405,2120,1804,1531,1571
42,5,15,2,1614,3202,2105,1331,1765,1585
15,5,17,2,1761,1490,2132,1721,1253,2243
20,5,19,2,1965,1854,1790,1603,1029,2060
2,5,21,2,1975,2093,1211,1638,981,2155
14,5,23,2,1789,1340,2206,1725,1152,1999
17,5,25,2,1882,1947,1450,1813,1554,1944
3,5,27,2,2580,1773,1622,1569,1441,1652
41,5,29,2,3823,3341,2166,1863,1427,966
1,5,31,2,2310,2087,2192,1357,1746,1857
23,6,2,1,2271,2990,1349,1927,1891,3297
39,6,4,1,1766,2565,1304,1727,1281,2664
37,6,6,1,2054,2574,4839,3142,1501,1164
9,6,8,1,2251,3087,1192,445,3341,2293
13,6,10,1,1265,1339,1213,1409,2056,1413
12,6,12,1,1510,8756,2168,3329,1558,1614
20,6,14,1,1484,1020,1573,3081,1282,1629
11,6,16,1,3387,1712,1841,4306,1313,1956
16,6,18,1,5083,3013,1442,1554,1034,1334
22,6,20,1,1921,1862,2367,1219,1408,2685
29,6,22,1,1840,2696,1237,1328,1479,871
5,6,24,1,2374,3689,3313,2034,894,1820
25,6,26,1,1630,1262,1914,2184,5604,1866
6,6,28,1,3842,2019,1564,1589,1098,2887
36,6,30,1,2961,1605,1701,2642,1857,2263
31,6,32,1,1867,1891,1354,1257,1199,1048
32,6,1,2,1579,2947,1226,1586,1322,2359
18,6,3,2,3218,969,2189,2642,1409,2243
27,6,5,2,2461,1771,1385,1442,1180,1272
