seq,subj,item,cond,R1,R2,R3,R4,R5,R6
34,1,2,1,1542,3965,8044,568,1024,2592
29,1,4,1,1946,1764,1422,,594,1629
14,1,6,1,1757,2308,1434,393,679,4783
24,1,8,1,920,893,3240,568,861,8356
5,1,10,1,1165,3616,741,2734,963,3741
17,1,12,1,1879,4967,980,684,454,2568
26,1,14,1,1717,1375,2292,674,494,4558
41,1,16,1,2328,6085,2024,435,500,4116
7,1,18,1,1773,1868,2486,1250,791,2656
43,1,20,1,7396,1073,1005,224,917,4019
39,1,22,1,1141,1203,3213,331,948,2764
42,1,24,1,641,8768,1151,1981,464,3406
37,1,26,1,1192,1253,1171,969,992,2418
23,1,28,1,2150,3154,1487,1034,659,5564
27,1,30,1,2476,2508,2187,1167,890,4512
18,1,32,1,1333,2601,2500,523,433,1762
21,1,1,2,4852,4896,3142,156,2123,6021
3,1,3,2,1410,1981,3405,1796,2359,2256
19,1,5,2,2849,2195,1201,1024,913,2930
32,1,7,2,847,2274,5844,732,497,10132
11,1,9,2,1630,2650,5328,1421,3033,6558
28,1,11,2,6943,4432,890,555,469,4373
38,1,13,2,2604,670,1411,1287,1051,3215
9,1,15,2,909,2282,1088,679,613,4062
8,1,17,2,9118,4369,4217,2132,4420,4548
10,1,19,2,1840,12915,1265,931,685,5462
36,1,21,2,4159,1084,538,656,896,4070
1,1,23,2,3434,3797,1857,3442,1477,1957
2,1,25,2,2815,3768,1673,1383,631,3871
13,1,27,2,1986,3758,1394,3741,644,1744
40,1,29,2,2090,1801,1643,1581,997,9172
16,1,31,2,1311,809,429,590,481,12616
14,2,1,1,230,3821,2503,1745,1338,3541
36,2,3,1,2424,1280,1855,2223,2181,1847
20,2,5,1,1736,1115,1389,1019,860,1594
2,2,7,1,2736,5321,3291,1546,1145,2295
16,2,9,1,1587,2134,1272,1402,810,959
8,2,11,1,2493,1986,1314,1020,393,5168
22,2,13,1,3033,1400,2167,1702,1013,3559
40,2,15,1,1043,1671,1154,1748,933,3967
4,2,17,1,5749,1481,3143,1488,1390,1491
24,2,19,1,1276,2348,1537,996,905,2490
33,2,21,1,1426,2408,1777,1468,3091,1328
23,2,23,1,1138,1403,933,950,862,2300
35,2,25,1,2305,1338,1604,2204,2057,5839
38,2,27,1,2197,1684,1203,2058,1495,2661
30,2,29,1,6738,1981,1667,1541,1265,2077
5,2,31,1,1686,1566,1971,1100,1098,1656
28,2,2,2,1947,1449,2719,1480,1146,1969
12,2,4,2,2232,5370,1778,2389,1796,5537
6,2,6,2,1554,3350,1635,1248,1201,849
