seq,subj,item,cond,R1,R2,R3,R4,R5,R6
21,2,10,2,1009,1295,1660,1491,1460,3027
34,2,12,2,1174,2659,1350,2024,1587,890
8,2,14,2,1826,1939,2635,2592,1480,953
17,2,16,2,2240,2061,2658,1803,1168,1520
42,2,18,2,2333,2504,2520,2596,1317,2276
33,2,20,2,2052,1783,1935,1783,1614,819
31,2,22,2,1453,1933,2003,1577,1353,2976
9,2,24,2,2369,1891,1838,2966,2148,2809
4,2,26,2,1906,2102,2175,2910,1822,1499
12,2,28,2,2194,1640,2271,2108,2079,1986
28,2,30,2,1710,1883,2141,1692,3355,2362
24,2,32,2,1256,2620,1693,1643,1184,1354
23,3,1,1,2068,2601,1748,1440,887,1261
5,3,3,1,1666,1965,1857,1215,1200,3077
31,3,5,1,1299,1251,621,1091,732,1725
10,3,7,1,1571,1138,1750,1351,923,6402
40,3,9,1,1574,2222,1350,1284,1069,2199
39,3,11,1,1698,8897,975,1059,713,1238
15,3,13,1,1375,3284,1752,2256,1059,1148
1,3,15,1,986,1062,1589,1955,1466,2524
28,3,17,1,1199,1011,1544,962,925,1973
42,3,19,1,1584,1686,1607,2411,948,1379
12,3,21,1,1256,1736,1387,1293,1312,1574
8,3,23,1,,4317,1610,3082,1914,2681
36,3,25,1,1448,455,3520,1522,513,1398
22,3,27,1,1488,1262,1107,1721,970,2406
4,3,29,1,2819,1537,2411,4142,1049,2712
7,3,31,1,1183,3861,2998,731,928,4009
25,3,2,2,1400,2188,5776,2822,1433,1379
16,3,4,2,1953,6279,1328,2474,1237,2476
29,3,6,2,1466,1521,1783,1251,820,911
20,3,8,2,1014,2085,1642,2992,1253,2326
33,3,10,2,1252,2773,2009,1496,1155,1776
3,3,12,2,1944,5274,1495,2205,1025,4108
37,3,14,2,861,911,1455,1208,1531,2890
19,3,16,2,1061,2487,2286,1434,847,4311
2,3,18,2,1048,1646,2481,843,293,4207
35,3,20,2,1534,1556,1564,1887,796,1606
38,3,22,2,1212,2222,1407,978,1435,2298
14,3,24,2,1612,892,1207,1883,845,1005
27,3,26,2,1811,1302,1236,1190,638,1275
18,3,28,2,1862,1227,1526,1782,2537,7075
13,3,30,2,1578,3173,1543,1574,1251,4341
9,3,32,2,929,1658,1040,1034,928,3227
27,4,1,1,4727,2432,1836,1590,1192,2379
35,4,3,1,1613,884,2043,1267,972,1893
4,4,5,1,3182,2512,1323,1333,1070,2950
14,4,7,1,1348,1950,2073,1739,2458,3478
24,4,9,1,1201,2180,1138,1561,1048,2087
6,4,11,1,3949,4683,1958,1394,1012,1791
3,4,13,1,2226,2727,1924,2314,1609,2389
