seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
15,4,25,2,807,3012,4952,3265,,,
67,4,27,2,2737,2302,2701,1670,1079,5520,
41,4,29,2,3405,2785,141,5430,765,5014,
48,4,31,2,4267,2624,2002,2410,1459,1657,
38,5,2,1,2238,1994,2551,1701,,2839,
43,5,4,1,1883,2449,2584,1561,1428,934,
40,5,6,1,2202,2674,1953,1934,289,2247,
31,5,8,1,1655,2275,1491,900,2002,1596,
22,5,10,1,1838,1648,2492,1442,177,2726,
18,5,12,1,1419,3495,2632,1688,,975,1156
35,5,14,1,1730,1248,1634,1462,1118,667,
15,5,16,1,3591,2228,2192,699,1501,2684,
47,5,18,1,2202,2552,1924,1324,1394,731,
16,5,20,1,4223,2595,2056,1556,150,2037,
21,5,22,1,,,,,7799,2719,
45,5,24,1,3271,1341,1141,164,1104,3400,
53,5,26,1,3124,2800,2243,481,1594,1801,
51,5,28,1,3166,1741,2412,1358,,4823,
24,5,30,1,2654,2670,2351,2260,,3979,
14,5,32,1,2017,1917,1984,1534,273,2072,
54,5,1,2,1915,2973,1173,1803,93,4850,
11,5,3,2,3020,1240,1510,1260,1444,3087,
56,5,5,2,4231,3385,1582,1292,322,1866,
36,5,7,2,3514,1263,2183,1318,755,761,
60,5,9,2,2684,1765,1497,728,153,2602,
46,5,11,2,2499,3186,2100,343,1296,2435,
29,5,13,2,2820,1405,2120,1940,388,2820,
68,5,15,2,1614,3064,2364,1274,1535,2282,
28,5,17,2,1901,1490,2132,1585,278,3462,
34,5,19,2,2297,1937,1790,1603,1160,2060,
7,5,21,2,2111,2093,1211,1638,169,2967,
25,5,23,2,2024,1340,2206,1725,706,2698,
30,5,25,2,2208,1947,1450,1813,1062,2470,
8,5,27,2,2802,1890,1622,1058,744,3057,
63,5,29,2,3885,2574,3155,1553,1737,966,
6,5,31,2,2346,2173,301,2347,1005,3603,
43,6,2,1,942,4167,1964,467,1743,1494,3564
66,6,4,1,1713,329,2543,1838,3044,4249,
64,6,6,1,2291,1057,2256,6671,698,1349,
17,6,8,1,712,3458,1593,1192,371,5348,
22,6,10,1,1066,426,2552,1409,2056,1413,
21,6,12,1,581,7653,2162,4081,,4778,
38,6,14,1,1731,1080,1668,1273,1960,846,1913
19,6,16,1,3651,1712,1948,4306,1313,1956,
28,6,18,1,5416,965,2048,2996,,2485,
42,6,20,1,1224,777,2042,2554,948,4364,
53,6,22,1,1984,2849,1145,916,338,2681,
13,6,24,1,2650,3689,3313,1441,,3307,
45,6,26,1,1916,120,1941,1534,1846,7565,
14,6,28,1,1186,5209,1303,1442,181,4212,
63,6,30,1,1004,2664,1085,1903,2020,4742,
56,6,32,1,1258,875,2380,865,1118,784,1715
57,6,1,2,2026,611,1048,2645,1237,293,
36,6,3,2,2369,1765,667,4571,,4024,
51,6,5,2,1156,1693,1701,1725,1102,2452,
68,6,7,2,1838,2786,868,1269,1940,2405,
15,6,9,2,2476,4313,1570,1086,2416,5107,
40,6,11,2,,3271,1963,1924,4087,189,
46,6,13,2,577,,4810,637,1058,240,
8,6,15,2,2034,218,4887,1074,5000,2994,
27,6,17,2,916,892,2081,1818,1938,5284,
62,6,19,2,1470,959,5187,,2631,4001,
33,6,21,2,1303,1328,2072,1388,2423,2796,
54,6,23,2,2120,439,2413,603,1993,4001,
12,6,25,2,1815,1694,,2237,1388,167,
61,6,27,2,1582,1217,1119,1708,1081,591,
7,6,29,2,4459,2542,,6531,,5932,
6,6,31,2,3531,4055,1898,1921,3668,3574,
12,7,2,1,2221,3257,1959,1155,1504,1253,
21,7,4,1,1775,3093,1657,,4430,1211,
6,7,6,1,2308,2914,298,2243,3072,1946,
17,7,8,1,1333,1388,146,2264,1252,1606,
49,7,10,1,1943,729,2280,1299,1005,650,
10,7,12,1,1883,2236,,1704,1785,2448,
19,7,14,1,2231,1266,1744,822,1596,1434,
31,7,16,1,2387,2661,3013,2114,914,1417,
28,7,18,1,2324,,2063,2466,2828,1861,
16,7,20,1,2907,1819,3620,2841,970,1114,
27,7,22,1,1599,1861,428,2501,1589,2143,
20,7,24,1,2151,1589,1267,1004,,2445,
60,7,26,1,2285,1905,1406,963,876,1042,
48,7,28,1,2323,2186,4312,1484,1344,941,
52,7,30,1,4541,2747,1455,2244,1140,724,
32,7,32,1,1549,1757,1434,1370,820,590,
43,7,1,2,1624,2725,1795,1342,,2628,
35,7,3,2,2042,1606,1583,1844,,3152,
46,7,5,2,1971,1238,2167,1507,947,1128,
29,7,7,2,2228,1336,,3110,1186,1268,
23,7,9,2,2004,218,3719,992,528,3647,
45,7,11,2,1630,1066,943,2045,231,1574,
37,7,13,2,809,3489,2085,2426,145,1558,
26,7,15,2,1659,978,2087,787,894,3962,
58,7,17,2,3358,3935,1531,1654,1872,1491,
56,7,19,2,2115,,3832,1125,1296,1459,
42,7,21,2,2895,1408,1174,1492,,2288,
59,7,23,2,2209,1705,1556,1216,1230,598,
40,7,25,2,1630,1494,1256,1956,953,898,
11,7,27,2,3104,1968,1921,1253,442,3390,
65,7,29,2,2201,,3851,1200,1369,2470,
57,7,31,2,2343,1839,1718,2444,224,2417,
57,8,1,1,1058,4402,1179,4716,,3466,
46,8,3,1,3281,2180,2428,3969,,3357,
10,8,5,1,2680,1012,557,5128,2239,1334,
18,8,7,1,1690,2713,2347,3812,1217,1724,
8,8,9,1,1618,2578,2131,1031,164,3740,
20,8,11,1,2540,1662,3086,3147,1930,1700,
49,8,13,1,4318,2660,2475,4784,,4917,
7,8,15,1,1823,2007,1908,2874,5387,1440,
14,8,17,1,2265,1542,2679,1194,1331,2885,
12,8,19,1,1498,3437,4109,1009,1357,3724,
15,8,21,1,3322,,5339,2911,,3652,
50,8,23,1,2335,2624,2251,1133,1096,1366,
48,8,25,1,2766,2188,1360,3310,854,1841,
63,8,27,1,2360,619,1326,3303,608,2210,
13,8,29,1,2282,3979,3072,1664,1984,1171,
39,8,31,1,801,5219,2049,1010,1477,1412,
25,8,2,2,760,4944,7001,3300,1456,2418,
23,8,4,2,878,3752,1107,1439,1764,6645,
66,8,6,2,473,3929,254,2287,2168,142,
32,8,8,2,1431,3154,1199,1258,1287,2294,
56,8,10,2,1545,2288,2152,1640,1583,657,
51,8,12,2,1705,3753,2287,1673,,3733,
31,8,14,2,2453,2310,2028,897,1221,941,
67,8,16,2,1599,2945,1322,1852,854,851,
22,8,18,2,2232,2861,4147,1568,1772,1773,
42,8,20,2,1202,889,6643,1526,,3099,
52,8,22,2,1861,1896,2204,1488,1147,3847,
43,8,24,2,6137,1899,2714,1247,,4448,
65,8,26,2,2087,2610,2094,1317,2365,1075,
54,8,28,2,3266,2796,1568,988,3999,3344,
41,8,30,2,3926,2592,2577,3014,2030,1708,
53,8,32,2,1843,1936,4159,2022,1863,432,
20,9,2,1,966,4801,3217,1499,2000,6315,
6,9,4,1,2752,1537,7807,1451,4898,1583,
14,9,6,1,3829,1099,1685,3726,411,1341,
50,9,8,1,1331,1426,4985,138,2191,2492,
9,9,10,1,713,1497,2578,2153,1257,4448,
39,9,12,1,1265,836,1917,8985,1238,2874,
56,9,14,1,1937,2183,1478,1429,1198,,3574
45,9,16,1,1922,1324,982,2799,1163,2327,
11,9,18,1,2676,395,7518,2059,5249,2196,
42,9,20,1,1592,2612,5009,4523,1582,3813,
27,9,22,1,1911,138,2562,1891,2708,2261,
36,9,24,1,2069,3383,2139,935,897,5721,
32,9,26,1,1711,161,1278,2122,1894,5024,
33,9,28,1,3042,2377,3394,1343,3329,3289,
30,9,30,1,3478,,4898,2130,4901,1576,
35,9,32,1,1534,2745,1625,308,2924,1062,
57,9,1,2,988,2928,6513,1548,,270,
28,9,3,2,953,2556,6744,2005,692,,
64,9,5,2,794,2705,1865,1854,2617,3392,
18,9,7,2,1575,3085,1560,1258,1678,2535,
48,9,9,2,1986,3522,3029,3595,168,3035,
44,9,11,2,,3124,743,2470,336,2853,
12,9,13,2,404,6033,1022,3664,1023,,
47,9,15,2,502,917,6210,1417,1504,2003,
59,9,17,2,2628,4065,,2274,333,3234,
34,9,19,2,2170,3501,2798,1122,1900,1272,
17,9,21,2,3007,,2255,2852,2586,,
46,9,23,2,3176,1319,945,2547,1578,,4457
43,9,25,2,845,5700,6858,827,595,3453,
62,9,27,2,482,1311,1715,4789,1491,437,
52,9,29,2,5337,2852,1531,2631,1850,1614,
16,9,31,2,2368,142,4865,6025,1439,1751,
62,10,2,1,2452,2535,2440,2298,,7413,
53,10,4,1,1992,3259,2737,1410,342,3247,
20,10,6,1,1527,1849,817,3552,1963,3034,
24,10,8,1,1337,3062,2159,2321,1968,,
56,10,10,1,1543,2081,3096,1639,2106,1478,
17,10,12,1,1651,3538,6646,1947,,2343,
15,10,14,1,,3355,2003,2049,2559,910,
18,10,16,1,2435,1844,3818,1058,1624,911,
10,10,18,1,2584,1830,1631,2545,1107,1718,
40,10,20,1,2594,2493,2854,2310,1057,1580,
33,10,22,1,2033,1710,449,2834,1691,1719,
9,10,24,1,2279,2422,1234,1323,,2850,
31,10,26,1,2759,1752,1565,,3378,2300,
38,10,28,1,5664,2509,2704,2060,134,7707,
32,10,30,1,2677,2342,2177,2872,1450,2301,
64,10,32,1,2246,3219,1289,1947,1422,1566,
5,10,1,2,2614,2731,,3643,,2934,
36,10,3,2,1542,2893,1835,2075,,3057,
44,10,5,2,2049,2032,2861,2644,2905,3942,
47,10,7,2,2538,1403,2877,2251,1874,2854,
11,10,9,2,1924,2127,1747,2444,,3714,
8,10,11,2,1743,824,2995,1581,193,2680,
34,10,13,2,2895,3448,2082,4195,,5742,
66,10,15,2,1716,1746,2170,1396,2181,1387,
29,10,17,2,1752,1785,995,1864,3843,2255,
39,10,19,2,1718,2450,2741,1437,1706,2389,
16,10,21,2,98,2194,3185,2627,3137,1971,
27,10,23,2,1678,1871,,3025,1146,3980,
58,10,25,2,2620,2739,2288,1725,,3055,
65,10,27,2,1585,322,5716,1768,465,3122,
7,10,29,2,3260,2598,3021,2155,3560,1685,
23,10,31,2,1725,1716,1885,1913,1103,2251,
34,11,2,1,3053,2392,2005,2856,2256,2508,
26,11,4,1,3534,3145,3551,2714,4193,1567,
54,11,6,1,1598,2224,2797,1956,821,1447,
31,11,8,1,2769,2101,2750,1827,2585,2012,
38,11,10,1,177,2637,1283,1032,893,2299,
25,11,12,1,1225,3556,1653,1215,,2658,
50,11,14,1,245,5372,1345,2022,2721,2552,
63,11,16,1,2293,2141,1878,1778,1108,891,
21,11,18,1,1795,3490,1288,2146,1418,1878,
10,11,20,1,,6405,1293,1851,1340,2094,
57,11,22,1,1245,984,954,1514,1318,1496,
65,11,24,1,2224,2416,797,830,,2410,
56,11,26,1,2681,1910,910,2193,913,1748,
47,11,28,1,3166,1815,2482,2403,1685,1797,
60,11,30,1,3110,3140,4949,2871,2180,1036,
17,11,32,1,2121,1769,1647,2895,1348,1907,
13,11,1,2,3335,3387,2634,1584,1114,1208,
11,11,3,2,5483,1354,1134,3025,,4386,
19,11,5,2,2621,2664,2430,1277,1388,1281,
36,11,7,2,2347,1810,4464,1799,1568,2510,
43,11,9,2,2128,3485,2003,531,1526,3020,
52,11,11,2,1965,804,1642,359,328,2461,
68,11,13,2,1905,2356,1524,914,2933,966,
53,11,15,2,1618,1640,1167,368,1177,1525,
22,11,17,2,1975,3936,2305,1658,871,1899,
59,11,19,2,3233,2062,3758,1995,2873,3248,
23,11,21,2,2713,2105,1085,1553,552,3283,
18,11,23,2,2200,3140,3494,3529,1442,1866,
49,11,25,2,2688,2206,6103,1529,769,1585,
33,11,27,2,3170,1446,2612,520,260,4482,
24,11,29,2,,5390,2548,2409,2014,1659,
30,11,31,2,,9735,1723,7594,866,1918,
62,12,2,1,2235,1927,1832,1385,1078,1818,
9,12,4,1,2843,2320,1842,1405,1336,2936,
18,12,6,1,2532,1730,1066,1073,1263,2458,
