seq,subj,item,cond,R1,R2,R3,R4,R5,R6
18,1,1,1,2249,1423,1669,1671,1003,1748
16,1,3,1,2158,1190,1281,1923,1280,1255
14,1,5,1,5221,1112,1093,701,1327,1053
41,1,7,1,1815,2340,2773,1216,1378,1275
11,1,9,1,1039,1496,854,1481,1224,1089
10,1,11,1,2163,1512,1078,1324,913,1160
22,1,13,1,3939,1428,1915,2133,1262,1196
13,1,15,1,1016,2099,1019,1241,1265,1046
24,1,17,1,2004,2195,1732,1159,2251,1917
37,1,19,1,2272,2164,2492,1423,1544,1608
29,1,21,1,1613,3085,2105,2603,1881,2164
35,1,23,1,1469,1998,2253,1269,1667,1514
40,1,25,1,785,1671,2582,2370,663,1349
39,1,27,1,2400,1863,1806,3280,850,1092
4,1,29,1,3161,1670,1595,3079,1505,2043
38,1,31,1,1353,1826,1604,915,1198,1459
33,1,2,2,2431,2582,1346,1013,1441,1201
7,1,4,2,2522,2140,1644,1501,1471,1817
5,1,6,2,1626,1728,2323,1778,1681,2380
26,1,8,2,1559,2753,1629,1901,2418,2038
1,1,10,2,2533,1771,1625,2259,2946,1652
21,1,12,2,1658,2038,3009,2569,1494,479
9,1,14,2,3166,1000,1707,1421,1332,1266
28,1,16,2,3079,1655,1929,734,931,1009
20,1,18,2,1586,1905,1591,1709,2114,1331
3,1,20,2,3242,1231,1421,1718,1124,2321
31,1,22,2,617,2480,1211,961,1686,1623
23,1,24,2,2793,1461,2208,2468,1805,942
30,1,26,2,1791,1471,2300,2251,1472,864
32,1,28,2,4545,1993,2398,1446,1336,1582
25,1,30,2,1916,2459,2461,2004,1435,2055
36,1,32,2,995,1734,1673,2086,1216,877
13,2,1,1,1680,2856,1199,2409,1813,1618
5,2,3,1,2644,1417,2103,1882,1802,2028
15,2,5,1,2310,1843,1444,1803,1550,1455
35,2,7,1,2471,1500,1811,1622,907,1903
10,2,9,1,1008,2595,1348,1757,1636,1370
32,2,11,1,1804,3725,2218,2535,1607,1904
2,2,13,1,3351,1758,2725,4113,1880,1539
38,2,15,1,1257,2318,751,1365,1582,967
27,2,17,1,1193,1593,2384,1208,1169,2206
1,2,19,1,3733,2885,2485,1270,1592,2026
3,2,21,1,2834,2218,2543,2256,1560,2101
23,2,23,1,900,1277,1564,1316,1270,1617
7,2,25,1,1970,2102,3252,3289,1426,1239
41,2,27,1,1639,2442,2253,1729,943,1787
37,2,29,1,2063,1662,1547,1738,1668,1173
20,2,31,1,1498,1340,2378,2030,1356,1562
29,2,2,2,2260,1669,2839,2154,2433,1245
25,2,4,2,1451,4288,1514,2142,1361,1424
39,2,6,2,1459,1677,2235,1739,2070,1057
43,2,8,2,2005,2019,1599,1218,1915,2043
21,2,10,2,1600,1428,1660,1491,1460,2303
34,2,12,2,1174,2659,1350,2024,1587,890
8,2,14,2,1946,1939,2635,2592,1480,833
17,2,16,2,2240,2167,2658,1803,1168,1414
42,2,18,2,2333,2992,2520,2596,1317,1788
33,2,20,2,2052,1783,1935,1783,1614,819
31,2,22,2,1565,1933,2003,1577,1824,2393
9,2,24,2,3304,1990,1838,3263,1851,1775
4,2,26,2,1906,2102,2175,2910,1822,1499
12,2,28,2,2194,1640,2271,2108,2079,1986
28,2,30,2,1805,1883,2141,2332,2715,2267
24,2,32,2,1437,2620,1693,1643,1184,1173
23,3,1,1,3474,1775,1564,1440,1013,739
5,3,3,1,2070,2123,1857,1215,1200,2515
31,3,5,1,2124,1251,621,1242,732,749
10,3,7,1,2458,2465,2902,2146,1366,1798
40,3,9,1,2269,2643,1350,1284,1069,1083
39,3,11,1,5237,5741,975,1059,713,855
15,3,13,1,2458,2201,1752,2256,1365,842
1,3,15,1,1621,1062,1840,2126,1612,1321
28,3,17,1,1199,1011,1544,962,925,1973
42,3,19,1,1584,1686,3073,945,948,1379
12,3,21,1,1256,1736,1387,1293,1552,1334
8,3,23,1,2931,2320,2900,2663,1357,1433
36,3,25,1,2106,2060,1686,1522,513,969
22,3,27,1,1638,1262,1249,1947,970,1888
4,3,29,1,3716,1619,5540,1293,1049,1453
7,3,31,1,3634,3704,2325,731,1310,2006
25,3,2,2,2440,3877,3047,2822,1722,1090
16,3,4,2,3604,4628,1494,2579,2190,1252
29,3,6,2,1466,1607,1783,1251,820,825
20,3,8,2,1096,2085,3391,1243,1253,2244
33,3,10,2,3204,1708,1579,1244,1155,1571
3,3,12,2,3359,5711,2024,2132,1845,980
37,3,14,2,1736,1694,1703,1208,1700,815
19,3,16,2,2367,2751,2286,2371,1619,1032
2,3,18,2,1176,1929,2070,1194,1402,2747
35,3,20,2,1867,1556,2032,1698,976,814
38,3,22,2,1212,2222,1407,978,2178,1555
14,3,24,2,1612,892,1207,1883,960,890
27,3,26,2,1811,1302,1236,1190,638,1275
18,3,28,2,2542,1949,4407,3049,1580,2482
13,3,30,2,1740,3721,1543,1574,2351,2531
9,3,32,2,1326,1816,1538,1694,1215,1227
27,4,1,1,4727,2432,1983,1590,1775,1649
35,4,3,1,1613,884,2043,1267,972,1893
4,4,5,1,3976,2512,1323,1584,1260,1715
14,4,7,1,2791,2110,2214,1726,1223,1500
24,4,9,1,1201,2180,1138,1561,1048,2087
6,4,11,1,4534,4098,1958,1394,1012,1791
3,4,13,1,2471,3221,1924,2314,1609,1650
19,4,15,1,1683,1538,1435,1492,1076,2417
13,4,17,1,6880,3486,2252,956,2403,1695
26,4,19,1,1627,4344,3093,2388,1128,2419
32,4,21,1,2904,2532,1696,2824,1185,1752
16,4,23,1,3272,2373,4002,1421,1270,2241
2,4,25,1,2385,2397,2634,2637,1463,1903
8,4,27,1,1441,1829,1663,2272,1328,1645
23,4,29,1,2518,2016,1771,1544,1295,2789
12,4,31,1,5869,5325,2428,1236,1115,2373
33,4,2,2,2333,2304,2116,1561,1662,1075
10,4,4,2,2515,3446,1300,1615,1438,1753
41,4,6,2,2622,1317,1389,2733,2045,1138
20,4,8,2,2022,2621,1599,1212,1725,1887
37,4,10,2,1040,1134,1064,1077,1358,1742
18,4,12,2,3198,4222,3917,3314,1386,1659
29,4,14,2,2191,999,1108,1167,1153,2116
17,4,16,2,5103,3240,2195,1532,1058,1676
31,4,18,2,1891,4775,3561,2522,1057,1729
30,4,20,2,2262,1483,2815,2734,1282,1602
1,4,22,2,1419,2049,2658,1486,3602,1055
39,4,24,2,2633,2446,1497,1861,890,952
9,4,26,2,3741,4119,5056,2599,2778,1601
22,4,28,2,3683,3489,3303,3498,1954,2374
7,4,30,2,3405,2101,1784,1598,1567,2575
40,4,32,2,2420,4064,2268,1177,945,1410
41,5,1,1,1358,2454,1314,2052,633,816
35,5,3,1,2283,1527,1687,755,1182,826
30,5,5,1,968,2502,730,1075,1182,1411
7,5,7,1,2273,1145,1829,2228,661,854
38,5,9,1,1764,2286,1810,817,654,953
6,5,11,1,2581,1138,1576,772,985,510
33,5,13,1,1698,1038,1588,1766,1814,660
9,5,15,1,2417,2466,1442,1246,1009,950
25,5,17,1,2863,2931,2618,821,1511,1325
19,5,19,1,2023,2861,2615,1374,1364,1644
34,5,21,1,2080,1358,1574,787,1453,796
28,5,23,1,1714,1670,1109,1025,754,908
29,5,25,1,1390,1225,930,1633,872,1475
26,5,27,1,1215,2361,1051,3292,1516,803
32,5,29,1,2860,1849,1642,1135,1099,811
10,5,31,1,1655,1529,1470,964,801,1123
17,5,2,2,2202,2248,2237,2380,1828,1040
1,5,4,2,2802,5172,1630,2411,2304,1245
23,5,6,2,573,1399,1015,916,1002,670
3,5,8,2,1698,1976,1487,1239,1738,1221
12,5,10,2,1211,1168,4301,1354,752,863
22,5,12,2,2435,4777,1352,1519,907,669
40,5,14,2,749,912,1039,2134,2472,822
20,5,16,2,2125,1852,2137,3783,404,889
37,5,18,2,761,1501,1094,729,769,1092
15,5,20,2,2607,1348,1245,759,1180,1803
11,5,22,2,2451,1725,1491,1452,1219,683
5,5,24,2,4856,3307,3077,2313,771,834
21,5,26,2,2272,2106,2123,1585,1392,994
16,5,28,2,2003,834,2283,1521,868,2096
27,5,30,2,1545,1295,1643,1642,1133,1061
14,5,32,2,1189,1869,981,599,941,880
32,6,1,1,2350,3758,2307,1671,921,1253
22,6,3,1,2152,2430,1576,1229,1104,1166
15,6,5,1,923,1640,1514,1270,1703,1401
11,6,7,1,2742,3572,3415,3027,1442,1929
3,6,9,1,9808,1820,3271,3373,2751,1287
8,6,11,1,1445,2787,1606,1282,2199,758
29,6,13,1,3745,2397,1623,1361,1772,503
39,6,15,1,2873,3778,2420,1391,1360,1040
5,6,17,1,2720,1682,2408,1566,1018,1010
21,6,19,1,1857,3149,2591,2633,1466,1284
30,6,21,1,2376,2640,2120,1572,1320,925
27,6,23,1,2735,1874,1016,1242,1184,820
36,6,25,1,3307,3627,1304,2081,667,899
10,6,27,1,2101,2651,1828,4062,1032,813
31,6,29,1,1612,3248,2978,3029,1688,947
19,6,31,1,2621,3270,3596,3086,1922,1601
17,6,2,2,4173,3810,2695,1228,1075,1352
24,6,4,2,3594,3389,1359,1782,669,640
34,6,6,2,2516,1618,2440,2416,2459,560
37,6,8,2,1253,2388,2207,1980,2099,1048
41,6,10,2,781,2932,4041,1138,1126,1022
13,6,12,2,3082,11222,5282,2979,1699,686
6,6,14,2,3910,2556,4905,3386,2451,892
40,6,16,2,2618,2039,2199,1069,1229,530
2,6,18,2,1976,1447,1599,1378,1484,1240
7,6,20,2,3304,5102,2230,1199,655,911
20,6,22,2,1120,2158,2167,1181,2636,408
26,6,24,2,2807,1361,2068,1465,738,677
43,6,26,2,2825,2277,1273,1208,1298,694
28,6,28,2,4710,2770,5920,4377,1663,1363
9,6,30,2,2380,3406,3259,2544,1257,972
14,6,32,2,1848,2235,2935,2228,1838,973
37,7,1,1,2297,3394,1451,1090,1023,1097
39,7,3,1,1833,1208,1871,1187,805,1044
35,7,5,1,2160,2031,918,1470,737,1122
12,7,7,1,1361,1452,1414,1165,850,1553
6,7,9,1,2719,3833,2633,2715,1223,1529
24,7,11,1,1769,3891,3072,1713,736,1435
42,7,13,1,2017,1418,2673,2403,1072,978
41,7,15,1,1290,985,1010,1260,832,1374
17,7,17,1,2637,1781,2255,813,2087,2356
21,7,19,1,2009,1548,1553,745,2216,2003
28,7,21,1,1336,773,2450,1514,1563,912
26,7,23,1,2923,1085,1690,2229,846,2074
30,7,25,1,1965,1011,1530,2630,1037,776
27,7,27,1,1119,1603,1298,2664,1326,1140
15,7,29,1,3010,1684,2709,2776,1040,1879
2,7,31,1,2225,1768,2374,1390,1461,2144
31,7,2,2,1890,4010,1241,2393,1886,1172
4,7,4,2,1636,4306,1792,2304,1293,2022
9,7,6,2,2516,863,1108,929,1580,855
22,7,8,2,991,3025,1148,774,2048,2368
33,7,10,2,2141,1521,1470,1441,858,1503
29,7,12,2,1815,2816,1384,1109,1322,675
18,7,14,2,2485,1918,1694,1807,1605,1234
8,7,16,2,4461,1900,2079,1783,948,684
16,7,18,2,2386,2340,1513,1197,1629,2057
3,7,20,2,2547,3806,2639,1738,1420,2011
20,7,22,2,1189,2045,2885,1628,1058,1131
25,7,24,2,2351,1284,1029,2029,720,764
14,7,26,2,2629,1193,2264,2035,1478,1443
1,7,28,2,3203,2226,2313,2294,1477,2616
11,7,30,2,2949,1711,1788,2058,1285,1260
19,7,32,2,1747,2045,1117,1132,838,730
43,8,1,1,7563,4343,623,2900,1007,1400
40,8,3,1,5773,1499,1511,1244,1041,2229
29,8,5,1,4792,1967,1598,1927,892,1117
3,8,7,1,4173,3055,2452,1656,976,1131
37,8,9,1,5583,2374,980,1191,1203,825
10,8,11,1,5060,2239,1435,1438,1363,1189
35,8,13,1,5263,994,1557,1622,1297,1427
39,8,15,1,3469,1202,1320,1581,1121,1683
46,8,17,1,6531,2781,1298,1054,1734,1340
15,8,19,1,3558,1537,2995,1033,1184,1870
45,8,21,1,2559,2219,1875,1079,1418,1655
26,8,23,1,2329,1093,2904,1741,1541,2035
2,8,25,1,2503,3028,2699,3270,3623,1575
8,8,27,1,6571,1734,3854,2496,1174,2354
20,8,29,1,4978,1999,1568,1829,1247,1300
34,8,31,1,11309,1545,2539,2796,1090,947
22,8,2,2,5277,1371,2154,1132,2219,893
24,8,4,2,6423,2856,1399,1894,1281,918
31,8,6,2,6922,1387,2231,1687,2943,819
16,8,8,2,6119,1647,1169,2482,2081,1871
13,8,10,2,2279,1902,1149,1182,1592,738
7,8,12,2,4620,3142,942,1557,1351,1057
42,8,14,2,4149,1450,2707,2301,2725,1024
12,8,16,2,6053,2760,3364,1936,1079,1132
9,8,18,2,5680,2475,3128,1469,2406,1340
1,8,20,2,4154,1915,2960,2682,1418,1239
21,8,22,2,4853,3225,1941,1256,1431,1765
18,8,24,2,3346,1397,766,2554,914,1769
33,8,26,2,3377,1501,3002,2103,1478,819
19,8,28,2,5764,2907,4270,1317,1966,2285
36,8,30,2,5823,2246,1984,1419,1230,2483
5,8,32,2,6479,2061,1378,948,1026,841
7,9,1,1,3637,5314,1867,1723,1945,1060
27,9,3,1,3863,1277,2971,2269,1479,2047
23,9,5,1,3058,1835,1293,1547,2060,2167
2,9,7,1,1714,1926,2227,2455,1426,2487
36,9,9,1,2449,2762,1932,2666,1940,1170
18,9,11,1,3559,3910,1848,1571,1172,1355
41,9,13,1,2457,1977,1976,5605,1825,2213
38,9,15,1,1357,2126,1293,1378,1068,1094
32,9,17,1,1080,2827,2770,2773,1812,2280
10,9,19,1,2123,2068,2688,1151,2085,1398
6,9,21,1,2619,1353,1754,2353,1188,886
35,9,23,1,3120,2558,2014,1462,1421,3319
19,9,25,1,2452,1305,1548,3285,2069,1581
34,9,27,1,1765,2871,2171,2783,1374,1894
31,9,29,1,2166,2988,3279,1828,1475,1837
5,9,31,1,1694,3165,2128,1441,1832,2012
39,9,2,2,2664,2949,2898,3984,1821,2021
13,9,4,2,3662,3100,2984,3391,1345,2386
15,9,6,2,3115,2275,3433,2748,1937,2068
29,9,8,2,1707,1781,3083,1543,2075,3760
21,9,10,2,1773,2232,1420,2392,3205,1562
11,9,12,2,4029,6657,2201,2921,1585,1512
42,9,14,2,2509,1502,1685,2058,2362,1791
33,9,16,2,2209,2312,2477,1141,1038,1582
4,9,18,2,3585,3717,3555,2930,1713,2113
25,9,20,2,2649,1943,3348,2578,1395,2230
9,9,22,2,1980,2985,2821,2432,1987,2125
26,9,24,2,3105,1923,2320,2897,1139,2366
43,9,26,2,4191,3568,2282,2109,2260,2299
12,9,28,2,3975,1766,3782,3229,2683,2524
1,9,30,2,3447,2146,2279,2407,2637,4490
17,9,32,2,1464,2770,3076,2437,1231,1039
19,10,1,1,2111,2137,1696,2979,1620,1362
14,10,3,1,3121,1465,2505,2167,1063,1657
8,10,5,1,2518,1608,1515,1578,818,1053
36,10,7,1,2080,1694,1772,1930,1020,719
41,10,9,1,1038,2541,1479,1235,1027,876
13,10,11,1,3512,2461,1808,1553,1633,2549
34,10,13,1,2311,1281,1906,2163,1801,768
39,10,15,1,1438,1847,1745,2348,1718,940
40,10,17,1,1899,1679,1788,1002,2502,1370
6,10,19,1,2659,3250,1847,1860,1676,1689
28,10,21,1,1807,1552,1526,1480,1341,873
22,10,23,1,2208,2586,1758,1139,1464,1138
23,10,25,1,2222,1802,2522,2371,1215,1274
32,10,27,1,2537,2133,1961,1852,1168,1519
1,10,29,1,2452,2566,1981,2193,1594,1684
2,10,31,1,3438,5478,3029,1495,1792,1492
24,10,2,2,2252,1979,1546,2111,2165,1717
17,10,4,2,2687,4790,1263,1939,1405,1729
29,10,6,2,1554,1848,2783,2261,1696,869
26,10,8,2,1000,2212,2287,1350,1706,1255
3,10,10,2,1648,2667,1475,1165,1738,1437
21,10,12,2,1338,2740,1502,2303,1650,920
7,10,14,2,3228,1714,4216,2471,2177,2167
35,10,16,2,2088,2629,2701,1176,1303,813
16,10,18,2,1458,2012,2783,1536,1228,2165
5,10,20,2,4671,3017,1812,2956,578,1107
11,10,22,2,1422,1867,1438,1165,1907,960
12,10,24,2,2029,1359,1267,2089,1181,818
33,10,26,2,1473,2204,2251,924,1650,1134
38,10,28,2,2034,1958,3031,2317,869,1951
31,10,30,2,2058,1944,1349,1948,1417,2532
10,10,32,2,1702,2373,1598,1636,1109,1254
3,11,1,1,3193,1523,1198,1180,1392,1042
36,11,3,1,1300,1098,832,817,481,1526
27,11,5,1,969,1070,768,775,775,747
7,11,7,1,1348,1543,1787,1435,860,993
16,11,9,1,657,1463,969,1916,1957,1390
13,11,11,1,1448,1930,1687,1214,1417,685
31,11,13,1,1524,826,1121,780,2020,978
21,11,15,1,764,1341,936,1000,685,821
9,11,17,1,2229,2353,2222,989,1036,937
10,11,19,1,938,2439,1339,754,1088,1267
19,11,21,1,1220,813,1984,988,1590,707
34,11,23,1,1500,857,1020,1189,819,966
23,11,25,1,1618,1941,1181,935,795,949
30,11,27,1,673,900,688,1024,1127,847
24,11,29,1,2802,1168,1332,1303,1215,731
33,11,31,1,1346,2048,2083,1324,730,727
11,11,2,2,1624,2625,2818,3547,1158,634
38,11,4,2,712,2804,1733,1564,1292,1542
40,11,6,2,1186,736,2113,684,1284,521
1,11,8,2,1398,1943,643,1512,1871,1835
25,11,10,2,806,1788,1309,1185,1020,676
15,11,12,2,879,1056,1374,1446,1114,876
32,11,14,2,900,619,1697,1965,744,499
20,11,16,2,1490,1158,2095,1353,1567,968
5,11,18,2,1122,1778,3465,2431,1401,1634
42,11,20,2,1384,1675,2406,1864,1410,479
6,11,22,2,1102,1879,1096,1066,1063,744
14,11,24,2,1558,1977,1475,2417,1294,479
35,11,26,2,346,507,927,1227,1670,883
29,11,28,2,1960,1071,2394,1345,1052,1523
18,11,30,2,3109,1958,1470,908,1111,669
22,11,32,2,410,1441,1663,1283,1047,449
1,12,1,1,3722,2445,1169,1496,2199,1073
34,12,3,1,1335,1118,1056,1244,811,1148
20,12,5,1,2886,2696,2678,804,1181,1185
11,12,7,1,1983,1324,1688,1724,1440,1454
16,12,9,1,999,1620,925,1352,1310,1481
42,12,11,1,1401,3369,2619,1048,786,806
10,12,13,1,2177,1371,1535,2405,2468,2180
18,12,15,1,1958,1746,1448,1468,1904,2395
32,12,17,1,3072,3252,2187,1301,899,1104
41,12,19,1,1779,1835,1106,931,1359,1693
37,12,21,1,2488,822,852,1181,860,915
36,12,23,1,1328,975,1826,915,705,1035
9,12,25,1,2438,1793,1443,1256,1253,2042
19,12,27,1,3959,3294,1525,1554,1666,1330
4,12,29,1,3130,2646,2517,3217,1615,837
33,12,31,1,1275,1754,2036,1057,945,1142
30,12,2,2,1885,3288,1377,1122,1219,1420
23,12,4,2,1033,1986,1343,2024,1017,1114
38,12,6,2,1160,1184,1634,1925,2031,1433
25,12,8,2,2712,1216,894,926,1077,1522
7,12,10,2,1858,1153,1644,1221,1325,2124
6,12,12,2,1105,1713,1272,2129,1990,1135
27,12,14,2,1356,1697,1909,1464,1430,2823
22,12,16,2,2353,2344,2559,828,1550,860
28,12,18,2,1044,2360,1459,1494,975,1293
15,12,20,2,2977,1935,1380,1055,1102,1103
3,12,22,2,2336,3627,3409,1159,836,1449
14,12,24,2,1923,1166,1647,2339,1025,1636
13,12,26,2,3012,3468,1955,1289,1676,797
5,12,28,2,2108,2630,1868,1937,2094,2304
40,12,30,2,2462,1795,1760,2948,807,1103
29,12,32,2,2357,3589,1801,1567,1028,832
16,13,1,1,1687,2098,1414,1962,1439,1286
39,13,3,1,2360,1951,1972,3424,1886,2137
3,13,5,1,3356,2575,1897,1360,1148,1107
24,13,7,1,1512,1694,2008,1464,1060,1487
13,13,9,1,1616,3283,2438,1602,1247,1458
1,13,11,1,1462,2555,1835,1553,925,1737
36,13,13,1,5027,3107,3418,2401,3340,1454
19,13,15,1,1019,1447,1856,2081,1569,1376
12,13,17,1,3251,4114,2412,1387,1117,1714
23,13,19,1,5566,2201,2326,1381,1666,2333
33,13,21,1,1627,1904,2229,2660,2011,1272
29,13,23,1,3402,4397,1660,2068,1614,1710
42,13,25,1,2089,1956,3276,1613,1078,1368
41,13,27,1,1605,2112,1941,2424,1344,1858
31,13,29,1,1692,2351,1845,1695,1659,1255
