seq,subj,item,cond,R1,R2,R3,R4,R5,R6
33,5,1,1,4212,3139,1694,2257,2328,1509
39,5,3,1,2986,1694,3698,4626,2586,1434
11,5,5,1,2216,3115,2119,3365,2569,2621
36,5,7,1,2873,4271,3045,2384,1329,1803
27,5,9,1,3137,2450,1661,3578,1446,1382
7,5,11,1,6480,4758,2671,2235,1054,1343
16,5,13,1,3769,3123,2768,4362,2456,1574
18,5,15,1,4561,2370,2615,1531,1625,2134
43,5,17,1,2743,2213,2670,1156,1929,1082
5,5,19,1,6920,4315,3316,2028,1573,2906
19,5,21,1,3650,2009,2385,1872,2041,1127
17,5,23,1,4196,1648,3229,2539,1177,1920
1,5,25,1,4734,3980,3866,4609,1837,1561
10,5,27,1,3414,3142,2011,2987,1137,1615
6,5,29,1,4759,3942,3839,2373,2932,1189
35,5,31,1,1980,2454,3039,1955,1289,1565
8,5,2,2,5496,3088,3933,3153,2938,1559
2,5,4,2,4896,5947,1946,2880,1939,2417
41,5,6,2,2502,2470,4722,3092,1746,1128
24,5,8,2,2011,2338,1357,1130,3576,2817
29,5,10,2,1788,3411,2299,3128,1927,1150
32,5,12,2,2868,5927,2482,2899,1668,984
26,5,14,2,2925,3463,3610,4343,2351,1229
13,5,16,2,4684,3598,5806,1807,1119,1332
21,5,18,2,1726,4936,1738,2063,1744,1612
31,5,20,2,5354,3971,3320,3387,1857,1333
23,5,22,2,3132,3244,2140,2246,2046,1047
22,5,24,2,2140,2372,1737,2567,913,867
38,5,26,2,4733,2835,4475,1848,1799,1978
4,5,28,2,5865,5720,5656,4896,2841,2097
14,5,30,2,3857,2874,1815,2025,1769,2382
20,5,32,2,2567,2359,2599,3014,1330,1151
36,6,1,1,1648,2256,2104,1494,1444,1145
32,6,3,1,2325,1380,3142,1943,1272,2008
5,6,5,1,1971,1707,1316,1539,1460,1371
25,6,7,1,1813,1697,2163,1769,1202,1354
41,6,9,1,1199,1687,1724,1735,1199,1144
3,6,11,1,1526,3232,1844,1897,994,1663
34,6,13,1,2655,1742,3453,4211,1644,1036
22,6,15,1,959,1360,1583,1709,1448,1230
13,6,17,1,1227,1222,1427,1231,1105,1849
23,6,19,1,1502,3499,1951,1033,1208,1300
40,6,21,1,1720,1179,1364,1773,1194,1225
4,6,23,1,1581,2484,1502,1912,1301,1875
20,6,25,1,1362,1577,1984,2173,1579,1319
1,6,27,1,2369,2285,2035,3918,2401,1508
17,6,29,1,2187,2785,2469,2234,1658,1332
35,6,31,1,1242,2029,2024,2173,1391,1094
18,6,2,2,2167,2008,2678,1582,1345,830
8,6,4,2,1777,2519,1399,1742,1297,1270
30,6,6,2,1221,1670,1744,1638,1466,947
15,6,8,2,1587,1445,1190,1247,1614,1624
10,6,10,2,1756,1832,1585,1931,1603,1774
29,6,12,2,1260,2906,1401,1825,1161,867
7,6,14,2,1468,1279,1975,1463,1238,975
24,6,16,2,1539,3072,3194,1562,1318,995
38,6,18,2,1716,2251,1933,2094,1082,1416
12,6,20,2,1828,1920,2615,1585,973,1140
2,6,22,2,2686,3041,2556,1293,1461,2154
39,6,24,2,1752,1243,1320,1559,1099,1041
14,6,26,2,1774,1704,1714,1188,1071,1254
27,6,28,2,1986,1846,2481,2374,1734,2204
21,6,30,2,1908,1612,1644,2113,1670,1930
28,6,32,2,1558,1978,1640,1659,1223,842
7,7,1,1,5884,2575,3204,2193,1332,1156
