seq,subj,item,cond,R1,R2,R3,R4,R5,R6
34,1,2,1,2236,5027,7509,568,1380,1015
29,1,4,1,15893,2891,2747,900,594,770
14,1,6,1,3132,1827,1255,1698,1582,1860
24,1,8,1,1826,3158,4313,1403,1707,2431
5,1,10,1,2840,3277,1997,2117,2076,653
17,1,12,1,2651,4195,1997,1188,651,850
26,1,14,1,2844,2381,2764,1154,1068,899
41,1,16,1,4411,4612,3416,1330,853,866
7,1,18,1,2262,1379,2890,1882,1260,1151
43,1,20,1,7396,1073,1604,2198,1470,893
39,1,22,1,1380,1680,3477,1317,1322,424
42,1,24,1,7348,2402,2173,2424,464,1600
37,1,26,1,1192,2640,1604,969,992,598
23,1,28,1,4357,3221,2196,1034,943,2297
27,1,30,1,3588,2801,2060,1910,2032,1349
18,1,32,1,1806,3172,1456,1610,653,455
21,1,1,2,5604,5411,4260,2252,2559,1104
3,1,3,2,2998,2284,2022,3080,1372,1451
19,1,5,2,2849,2195,2549,1795,913,811
32,1,7,2,3982,5156,5916,3312,1090,870
11,1,9,2,2488,4562,7331,3879,1320,1040
28,1,11,2,7768,6068,1369,815,1006,636
38,1,13,2,3022,1697,2414,1287,1220,598
9,1,15,2,1176,3904,1692,1592,613,656
8,1,17,2,9794,4436,5964,4923,2014,1673
10,1,19,2,11617,4075,2861,931,685,2929
36,1,21,2,4159,1688,1050,1959,1585,962
1,1,23,2,3966,3433,3095,2855,1469,1146
2,1,25,2,4102,3201,2403,2500,631,1304
13,1,27,2,2342,3402,4051,2181,644,647
40,1,29,2,4726,2809,3278,2776,2023,1672
16,1,31,2,3096,3913,3898,2419,1748,1162
14,2,1,1,3499,2915,1697,2481,1476,1110
36,2,3,1,2424,1280,1964,2223,2181,1738
20,2,5,1,1736,1437,1652,1019,1043,826
2,2,7,1,4567,4840,2728,1546,1248,1405
16,2,9,1,1587,2134,1272,1402,810,959
8,2,11,1,2493,1986,1432,2248,1568,2647
22,2,13,1,3546,1211,1843,1702,1370,3202
40,2,15,1,1255,1836,2262,2864,1556,743
4,2,17,1,5749,1684,3143,1488,1390,1288
24,2,19,1,1276,2348,1537,1304,905,2182
33,2,21,1,1426,2408,1777,2181,2666,1040
23,2,23,1,1138,1403,933,1249,1346,1517
35,2,25,1,4049,2825,1966,3153,2098,1256
38,2,27,1,2197,1684,1383,2742,1495,1797
30,2,29,1,6738,1981,1667,1541,1688,1654
5,2,31,1,1686,1740,1971,1100,1279,1301
28,2,2,2,1947,1724,2719,1807,1427,1086
12,2,4,2,3883,5854,2827,3204,2024,1310
6,2,6,2,2185,2817,1814,1248,1201,572
10,2,8,2,1368,1859,1134,1201,3693,1953
25,2,10,2,1634,1177,1172,1699,1232,1045
39,2,12,2,1247,2198,2555,2202,1550,370
42,2,14,2,3034,1811,2342,3530,1795,835
41,2,16,2,2019,2392,2206,1627,1135,1412
31,2,18,2,1050,1507,1066,1545,1288,847
19,2,20,2,1976,1240,1715,1852,2612,2482
1,2,22,2,4068,4701,3087,1906,1912,1963
34,2,24,2,1769,1554,1981,2141,1709,816
9,2,26,2,2652,2164,1490,1434,1679,2242
32,2,28,2,4563,2849,2650,2152,1923,2870
27,2,30,2,3176,2781,2252,2462,2782,1208
18,2,32,2,2098,3510,3366,1614,2363,833
40,3,2,1,3224,2024,1425,1150,1605,1048
1,3,4,1,2419,2554,1451,1600,1301,2324
22,3,6,1,2770,3210,1561,1569,1400,1216
14,3,8,1,1280,1832,1503,832,1833,2594
18,3,10,1,2722,3474,2990,1266,876,1223
13,3,12,1,2499,7780,3882,1801,855,1371
24,3,14,1,2631,5216,1696,2472,1031,870
9,3,16,1,2425,1725,1376,782,827,997
26,3,18,1,5674,6780,12040,2126,1338,1481
28,3,20,1,4678,1691,1152,863,900,1250
25,3,22,1,1845,1907,1573,790,1243,1780
20,3,24,1,2776,3352,781,1934,928,1220
4,3,26,1,2719,2636,2105,1331,1993,1705
6,3,28,1,4958,3949,2561,1539,1036,2554
32,3,30,1,3175,1618,3043,1445,1030,3367
5,3,32,1,2679,5855,1571,783,889,1297
29,3,1,2,5020,2121,1106,2612,1080,967
11,3,3,2,3275,1910,1865,1421,1154,2245
7,3,5,2,2448,3285,2771,1189,982,1068
34,3,7,2,2156,1626,1398,864,1418,1134
42,3,9,2,1520,1523,1195,1380,1517,1025
33,3,11,2,2182,1525,1014,931,624,1196
27,3,13,2,3788,2971,1517,1402,1520,1489
37,3,15,2,1347,1757,1292,1244,1492,1415
21,3,17,2,1434,3459,1735,919,1122,2026
36,3,19,2,4752,3053,2057,974,1625,1380
16,3,21,2,2585,2803,986,1611,1063,1323
3,3,23,2,3171,2820,1456,1164,907,1237
10,3,25,2,2287,3607,1889,2296,801,1354
38,3,27,2,1456,1609,1710,1650,859,2120
31,3,29,2,2884,1268,1400,1818,1738,2853
39,3,31,2,1118,1775,1713,975,1668,2059
18,4,1,1,6080,1878,1654,1979,1262,1762
28,4,3,1,2388,1254,1750,1676,1523,1424
1,4,5,1,2949,1513,1321,1384,1188,1647
31,4,7,1,2947,2122,2555,2262,1204,2196
33,4,9,1,4757,1367,1070,927,1121,744
38,4,11,1,1641,1885,1368,1122,861,952
44,4,13,1,2207,1073,1650,1905,1620,1235
24,4,15,1,2017,2064,2121,1301,1226,1221
25,4,17,1,1621,1073,1967,1272,1564,1886
41,4,19,1,3969,2617,2777,3066,2263,2134
16,4,21,1,4563,1946,1355,1305,1547,1472
35,4,23,1,1768,1442,1733,1273,1119,1579
27,4,25,1,2093,4621,1919,2413,1883,1432
22,4,27,1,3547,3098,1417,2417,903,1497
20,4,29,1,5520,2107,2811,3230,1782,2139
40,4,31,1,1552,1819,2382,1192,1517,2023
7,4,2,2,3271,2372,2580,2426,2216,2867
9,4,4,2,4552,3410,1290,2023,2381,1332
5,4,6,2,2132,2875,1598,1828,1131,1391
13,4,8,2,1411,1726,1609,1411,4185,2359
36,4,10,2,2413,1509,2219,1913,1850,1372
39,4,12,2,1632,2058,1743,1504,2273,1007
12,4,14,2,4198,1738,1765,1430,2308,1262
3,4,16,2,2550,2789,3275,1438,1300,1433
42,4,18,2,1625,1827,1686,1929,2381,2943
30,4,20,2,2613,2189,3088,1579,1106,1824
21,4,22,2,2426,1746,1583,1299,1574,1009
17,4,24,2,2371,920,1550,1942,998,1142
4,4,26,2,3292,1727,2143,1223,1636,1682
11,4,28,2,4836,2005,2432,3148,1450,2610
23,4,30,2,2824,1965,1643,1739,2109,2322
43,4,32,2,1060,1182,748,950,898,492
3,5,2,1,1782,1327,1390,992,1005,735
12,5,4,1,534,1835,1225,869,536,1630
25,5,6,1,2990,2490,1260,844,899,858
39,5,8,1,730,1467,1284,521,1408,1028
30,5,10,1,1210,990,972,275,506,888
35,5,12,1,605,1548,2327,816,860,456
33,5,14,1,941,883,819,732,410,751
6,5,16,1,1235,1174,155,636,613,655
17,5,18,1,458,2991,1258,1582,1019,1204
27,5,20,1,1167,476,940,1227,904,815
37,5,22,1,1196,809,760,692,665,860
16,5,24,1,855,634,1031,1011,801,802
24,5,26,1,1575,994,1026,773,600,792
5,5,28,1,3405,785,1668,776,647,1533
11,5,30,1,1427,1524,1955,634,797,620
1,5,32,1,1817,2240,1251,1047,749,461
14,5,1,2,2331,869,348,653,682,810
22,5,3,2,2179,1273,1069,634,744,1032
7,5,5,2,864,779,1545,422,693,686
20,5,7,2,2953,1630,1948,1271,656,638
28,5,9,2,1533,1739,1259,815,523,505
18,5,11,2,372,1604,734,571,437,295
41,5,13,2,903,1093,918,770,853,313
36,5,15,2,541,813,532,404,1357,1014
2,5,17,2,1554,2186,674,1092,425,1839
32,5,19,2,1032,1110,788,584,851,1947
38,5,21,2,1337,783,580,529,1524,1156
34,5,23,2,832,1184,812,548,693,965
42,5,25,2,1721,1001,1309,1213,823,1274
9,5,27,2,1291,1807,769,1020,425,945
19,5,29,2,2252,3907,832,1131,880,1052
10,5,31,2,902,890,625,968,495,764
20,6,1,1,2049,4034,866,989,569,579
15,6,3,1,4827,2039,1820,2530,859,1287
37,6,5,1,3337,2562,1452,1913,663,701
31,6,7,1,2742,3534,1327,465,1116,457
28,6,9,1,4811,2925,1889,2299,1452,1172
