seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
29,5,13,2,0,1,0,0,1,0,
68,5,15,2,1,1,0,0,1,0,
28,5,17,2,1,0,0,0,1,0,
34,5,19,2,0,0,0,0,0,0,
7,5,21,2,0,0,0,0,1,0,
25,5,23,2,0,1,0,1,1,0,
30,5,25,2,1,1,0,0,1,0,
8,5,27,2,0,1,0,0,1,0,
63,5,29,2,0,1,0,0,0,0,
6,5,31,2,0,0,1,1,0,0,
43,6,2,1,0,1,0,0,0,1,0
66,6,4,1,0,1,0,0,0,0,
64,6,6,1,0,1,1,0,0,1,
17,6,8,1,1,1,1,0,1,0,
22,6,10,1,0,1,0,0,0,0,
21,6,12,1,1,1,1,1,1,0,
38,6,14,1,0,0,1,1,1,0,0
19,6,16,1,0,1,0,0,0,0,
28,6,18,1,0,1,1,0,1,0,
42,6,20,1,0,1,1,0,0,0,
53,6,22,1,1,0,0,0,0,0,
13,6,24,1,1,1,0,0,1,0,
45,6,26,1,0,1,1,1,1,0,
14,6,28,1,1,0,0,1,1,0,
63,6,30,1,1,0,1,0,1,0,
56,6,32,1,0,1,0,0,0,1,0
57,6,1,2,0,0,0,1,0,1,0
36,6,3,2,1,0,1,1,0,0,
51,6,5,2,1,0,0,0,0,0,
68,6,7,2,0,1,0,1,0,0,
15,6,9,2,1,1,1,1,1,0,
40,6,11,2,1,1,0,0,0,0,
46,6,13,2,1,0,0,0,0,1,0
8,6,15,2,0,1,0,1,1,0,
27,6,17,2,1,1,1,1,1,0,
62,6,19,2,0,1,0,1,1,0,
33,6,21,2,0,0,1,1,1,0,
54,6,23,2,0,1,0,1,1,0,
12,6,25,2,0,1,1,1,1,0,
61,6,27,2,0,1,0,0,0,1,
7,6,29,2,1,1,1,0,1,0,
6,6,31,2,1,0,0,1,1,0,
12,7,2,1,1,0,0,0,1,0,
21,7,4,1,0,0,0,1,0,0,
6,7,6,1,0,0,1,1,0,0,
17,7,8,1,0,0,1,0,0,0,
49,7,10,1,1,1,0,0,0,0,
10,7,12,1,0,0,1,1,1,0,
19,7,14,1,0,0,0,0,0,0,
31,7,16,1,0,0,0,0,0,0,
28,7,18,1,1,1,1,1,0,0,
16,7,20,1,1,1,0,0,0,0,
27,7,22,1,1,0,1,0,0,0,
20,7,24,1,0,0,0,0,1,0,
60,7,26,1,0,0,0,0,0,0,
48,7,28,1,0,0,0,0,0,0,
52,7,30,1,1,0,0,0,0,0,
32,7,32,1,0,0,0,0,0,0,
43,7,1,2,0,0,0,0,1,0,
35,7,3,2,0,0,0,0,1,0,
46,7,5,2,0,0,0,0,0,0,
29,7,7,2,0,0,1,0,0,0,
23,7,9,2,1,1,0,1,1,0,
45,7,11,2,0,1,1,0,1,0,
37,7,13,2,1,0,0,0,1,0,
26,7,15,2,1,1,0,1,1,0,
58,7,17,2,1,0,0,0,0,0,
56,7,19,2,0,1,0,0,0,0,
42,7,21,2,0,0,0,0,1,0,
59,7,23,2,0,0,0,0,0,0,
40,7,25,2,0,0,0,0,0,0,
11,7,27,2,0,0,1,0,1,0,
65,7,29,2,1,1,0,0,0,0,
57,7,31,2,0,0,0,0,1,0,
57,8,1,1,0,1,0,0,1,0,
46,8,3,1,1,0,1,0,1,0,
10,8,5,1,1,1,0,0,0,0,
18,8,7,1,1,1,0,0,0,0,
8,8,9,1,1,0,0,0,1,0,
20,8,11,1,1,1,1,1,1,0,
49,8,13,1,1,0,0,1,1,0,
7,8,15,1,0,1,1,1,1,0,
14,8,17,1,1,1,0,0,0,0,
12,8,19,1,1,1,0,0,0,0,
15,8,21,1,1,1,0,0,1,0,
50,8,23,1,1,0,0,0,0,0,
48,8,25,1,1,0,1,0,0,0,
63,8,27,1,0,1,1,1,1,0,
13,8,29,1,1,1,0,1,0,0,
39,8,31,1,1,0,0,0,0,0,
25,8,2,2,1,1,0,0,1,0,
23,8,4,2,1,0,1,0,1,0,
66,8,6,2,1,1,1,1,1,0,
32,8,8,2,0,0,0,0,0,0,
56,8,10,2,0,0,0,0,0,0,
51,8,12,2,1,0,1,1,1,0,
31,8,14,2,1,1,0,1,0,0,
67,8,16,2,1,0,1,1,0,0,
22,8,18,2,0,1,1,0,1,0,
42,8,20,2,1,0,0,1,0,0,
52,8,22,2,0,1,1,1,1,0,
43,8,24,2,1,0,0,1,0,0,
65,8,26,2,0,0,0,0,0,0,
54,8,28,2,1,0,0,1,1,0,
41,8,30,2,1,0,0,0,0,0,
53,8,32,2,1,1,1,0,0,0,
20,9,2,1,1,1,1,1,1,0,
6,9,4,1,1,1,1,1,0,0,
14,9,6,1,0,1,1,1,1,1,
50,9,8,1,1,1,0,1,1,1,
9,9,10,1,1,1,1,1,1,0,
39,9,12,1,1,1,1,1,0,0,
56,9,14,1,1,1,1,1,1,1,0
45,9,16,1,1,1,1,0,1,0,
11,9,18,1,1,1,1,1,0,0,
42,9,20,1,1,1,1,1,1,0,
27,9,22,1,0,1,1,1,1,0,
36,9,24,1,0,1,1,1,0,0,
32,9,26,1,1,1,1,1,1,0,
33,9,28,1,1,1,1,1,1,0,
30,9,30,1,1,1,1,1,0,0,
35,9,32,1,0,0,0,1,0,0,
57,9,1,2,1,1,0,0,1,0,
28,9,3,2,1,1,1,1,0,0,
64,9,5,2,1,1,1,1,1,0,
18,9,7,2,1,0,0,0,0,0,
48,9,9,2,1,1,0,0,1,0,
44,9,11,2,1,1,1,1,1,0,
12,9,13,2,1,1,1,1,1,0,
47,9,15,2,0,1,1,1,1,1,
59,9,17,2,1,0,1,0,1,0,
34,9,19,2,1,1,0,1,0,0,
17,9,21,2,0,1,1,1,1,1,
46,9,23,2,1,1,1,1,1,1,0
43,9,25,2,1,1,1,1,1,0,
62,9,27,2,1,1,1,1,1,0,
52,9,29,2,1,1,1,1,0,0,
16,9,31,2,1,1,1,1,0,0,
62,10,2,1,1,1,0,0,1,0,
53,10,4,1,1,0,0,1,1,0,
20,10,6,1,1,1,1,0,0,0,
24,10,8,1,1,1,0,1,1,1,
56,10,10,1,0,1,0,0,0,0,
17,10,12,1,1,1,0,0,0,0,
15,10,14,1,1,0,0,1,0,0,
18,10,16,1,1,0,0,0,0,0,
10,10,18,1,0,1,1,0,0,0,
40,10,20,1,0,0,0,0,0,0,
33,10,22,1,0,0,1,0,0,0,
9,10,24,1,0,0,0,0,1,0,
31,10,26,1,1,1,0,1,0,0,
38,10,28,1,1,1,0,0,1,0,
32,10,30,1,0,0,1,0,0,0,
64,10,32,1,0,1,1,1,0,0,
5,10,1,2,1,1,0,0,1,0,
