seq,subj,item,cond,R1,R2,R3,R4,R5,R6
15,1,1,1,1,0,0,0,0,0
27,1,3,1,1,0,1,0,0,0
12,1,5,1,0,1,1,0,0,0
22,1,7,1,1,0,0,0,1,0
36,1,9,1,0,1,0,0,0,0
39,1,11,1,1,0,0,0,0,0
11,1,13,1,1,0,0,0,0,0
33,1,15,1,0,1,0,0,0,0
34,1,17,1,1,0,0,0,1,0
40,1,19,1,1,1,1,0,0,0
25,1,21,1,1,1,0,1,1,0
29,1,23,1,1,1,0,0,0,0
24,1,25,1,1,1,0,0,0,0
1,1,27,1,1,1,0,1,0,0
26,1,29,1,0,1,0,1,0,0
21,1,31,1,0,0,0,0,1,0
9,1,2,2,0,0,0,1,1,0
31,1,4,2,1,0,0,1,0,0
4,1,6,2,1,1,0,0,0,0
41,1,8,2,0,1,0,0,0,0
2,1,10,2,1,1,0,0,0,0
8,1,12,2,1,1,0,0,0,0
20,1,14,2,0,0,0,0,0,0
14,1,16,2,1,1,0,0,0,0
7,1,18,2,0,1,0,0,1,0
19,1,20,2,0,0,0,0,0,0
38,1,22,2,1,0,1,0,0,0
18,1,24,2,0,0,1,0,0,0
35,1,26,2,0,1,1,0,1,0
6,1,28,2,1,1,1,0,0,0
17,1,30,2,0,0,0,0,0,0
30,1,32,2,1,1,0,0,0,0
22,2,1,1,0,0,0,0,0,0
8,2,3,1,0,0,0,0,1,0
35,2,5,1,0,0,0,1,0,0
5,2,7,1,1,0,0,1,1,0
14,2,9,1,0,1,0,0,0,0
33,2,11,1,0,0,0,0,0,0
40,2,13,1,0,0,0,0,0,0
24,2,15,1,1,0,0,1,0,0
28,2,17,1,0,0,0,0,0,0
16,2,19,1,0,1,0,0,0,0
17,2,21,1,0,0,0,1,0,0
31,2,23,1,1,1,1,0,0,0
27,2,25,1,1,1,0,0,1,0
34,2,27,1,1,0,0,0,0,0
38,2,29,1,0,0,0,0,0,0
18,2,31,1,0,0,0,0,0,0
2,2,2,2,1,0,0,1,0,0
20,2,4,2,1,1,0,0,0,0
10,2,6,2,0,0,0,0,0,0
29,2,8,2,0,0,0,0,0,0
25,2,10,2,1,0,0,0,0,0
32,2,12,2,1,0,0,1,1,0
4,2,14,2,1,0,0,0,1,0
42,2,16,2,1,1,0,0,0,0
1,2,18,2,1,1,1,1,1,0
12,2,20,2,0,0,1,0,0,0
19,2,22,2,0,0,0,0,0,0
13,2,24,2,0,1,0,0,0,0
37,2,26,2,0,0,1,0,0,0
7,2,28,2,0,0,0,0,0,0
39,2,30,2,0,0,0,0,0,0
41,2,32,2,0,0,0,0,0,0
14,3,1,1,1,0,0,0,0,0
27,3,3,1,1,1,0,0,0,0
11,3,5,1,1,1,1,0,0,0
23,3,7,1,1,1,0,0,0,0
31,3,9,1,0,1,0,1,0,0
