seq,subj,item,cond,R1,R2,R3,R4,R5,R6
38,7,19,2,2027,2103,1729,1125,1296,1459
27,7,21,2,2620,1327,1174,1575,1130,1075
41,7,23,2,1697,1705,1556,1216,1230,598
26,7,25,2,1368,1395,1256,1847,858,898
4,7,27,2,2789,2029,2031,1854,1491,1454
43,7,29,2,2154,2108,1644,1341,1228,1649
39,7,31,2,1857,1839,1718,2339,1084,1557
37,8,1,1,1975,3252,1689,4647,1474,258
25,8,3,1,2952,2180,2428,267,1607,1542
4,8,5,1,2373,2699,1681,2208,2239,1038
10,8,7,1,2389,2439,1661,1930,859,1724
2,8,9,1,1618,2101,2131,1409,1449,350
12,8,11,1,2291,2132,230,278,700,778
28,8,13,1,4254,2163,2475,4727,1835,296
1,8,15,1,1726,4274,3991,1945,2092,838
8,8,17,1,2265,1542,257,1194,1331,2780
6,8,19,1,2208,2382,3953,1165,1357,3541
9,8,21,1,3367,563,3196,3901,1656,925
30,8,23,1,2023,1829,2251,1133,1096,1366
27,8,25,1,2239,2081,1360,3310,854,1259
39,8,27,1,2233,2026,1845,2050,750,1288
7,8,29,1,3681,2330,2987,2297,1351,1078
21,8,31,1,2849,2811,2049,1010,1477,1412
16,8,2,2,4099,4294,3397,3629,1456,243
14,8,4,2,1287,3488,1780,2495,2821,2463
41,8,6,2,1802,2680,1648,1449,1127,635
19,8,8,2,2426,1941,1199,1258,1395,2186
35,8,10,2,1302,2192,2152,1640,1376,864
31,8,12,2,1454,2509,2287,2309,700,507
18,8,14,2,2267,1656,205,1187,931,941
43,8,16,2,2524,1544,1608,1566,854,743
13,8,18,2,1921,3026,336,1255,1660,1241
23,8,20,2,3344,2729,2429,2325,836,1464
32,8,22,2,1533,2376,2431,966,3830,979
24,8,24,2,5875,1899,2609,1799,569,730
40,8,26,2,1820,2514,2307,1104,2365,1075
34,8,28,2,3045,1922,2603,2743,993,842
22,8,30,2,2981,235,2577,3014,1898,1734
33,8,32,2,1538,3118,301,2379,1635,432
13,9,2,1,5767,1952,2764,2137,3448,947
1,9,4,1,2408,5050,1645,2491,1124,1502
7,9,6,1,3809,2377,2646,1998,2035,1417
34,9,8,1,1063,4342,2082,2329,3338,2247
3,9,10,1,1865,2462,2052,1316,1430,1534
24,9,12,1,986,3423,3179,1723,1364,1025
37,9,14,1,3780,1248,1534,1482,1705,1710
28,9,16,1,2999,1099,1664,1265,1537,1953
5,9,18,1,2618,2854,2117,1157,584,2196
25,9,20,1,3651,4112,1305,2028,1054,191
15,9,22,1,1609,2700,1891,1696,1915,1257
23,9,24,1,1766,3383,1111,192,282,915
19,9,26,1,1384,1439,1641,1579,618,2450
20,9,28,1,2887,2377,3722,2464,936,912
18,9,30,1,3200,4775,2253,942,2039,1576
22,9,32,1,1277,3135,1412,1846,1209,1062
38,9,1,2,3410,3635,154,2599,85,1996
16,9,3,2,4931,3860,1711,86,896,
42,9,5,2,3216,1978,1993,1633,1683,1620
